チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
ソ","対
ロ","対
西","対
楽","対
日","対
オ"
"福岡ソフトバンク
ホークス",120,73,42,5,0.635,--,"40-19
(1)","33-23
(4)",***,"11-12
(1)","13-10
(1)",15-9,"17-6
(1)","17-5
(2)"
"千葉ロッテ
マリーンズ",120,60,57,3,0.513,14,"35-23
(2)","25-34
(1)","12-11
(1)",***,9-15,"8-15
(1)",13-11,"18-5
(1)"
"埼玉西武
ライオンズ",120,58,58,4,0.5,15.5,"35-22
(3)","23-36
(1)","10-13
(1)",15-9,***,"12-10
(2)",10-14,"11-12
(1)"
"東北楽天
ゴールデンイーグルス",120,55,57,8,0.491,16.5,"31-25
(4)","24-32
(4)",9-15,"15-8
(1)","10-12
(2)",***,"11-10
(3)","10-12
(2)"
"北海道日本ハム
ファイターズ",120,53,62,5,0.461,20,"31-26
(3)","22-36
(2)","6-17
(1)",11-13,14-10,"10-11
(3)",***,"12-11
(1)"
"オリックス
バファローズ",120,45,68,7,0.398,27,"26-31
(3)","19-37
(4)","5-17
(2)","5-18
(1)","12-11
(1)","12-10
(2)","11-12
(1)",***
