チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
ヤ","対
神","対
巨","対
広","対
中","対
デ","交
流
戦","対
オ","対
ロ","対
楽","対
ソ","対
日","対
西"
"東京ヤクルト
スワローズ",143,73,52,18,0.584,--,"36-29
(7)","37-23
(11)",***,"8-13
(4)","11-11
(3)","14-8
(3)","13-6
(6)","17-6
(2)",10-8,1-2,1-2,1-2,3-0,2-1,2-1
"阪 神
タイガース",143,77,56,10,0.579,0,"36-31
(4)","41-25
(6)","13-8
(4)",***,"13-9
(3)","12-12
(1)","14-9
(2)",14-11,11-7,1-2,1-2,3-0,1-2,3-0,2-1
"読 売
ジャイアンツ",143,61,62,20,0.496,11,"32-30
(10)","29-32
(10)","11-11
(3)","9-13
(3)",***,"12-12
(1)","10-12
(3)","12-6
(7)","7-8
(3)","0-2
(1)",2-1,2-1,1-2,1-2,"1-0
(2)"
"広島東洋
カープ",143,63,68,12,0.481,13,"30-34
(8)","33-34
(4)","8-14
(3)","12-12
(1)","12-12
(1)",***,"14-9
(2)","14-9
(2)","3-12
(3)",0-3,1-2,0-3,"0-1
(2)",1-2,"1-1
(1)"
"中 日
ドラゴンズ",143,55,71,17,0.437,18.5,"33-27
(11)","22-44
(6)","6-13
(6)","9-14
(2)","12-10
(3)","9-14
(2)",***,"10-13
(2)","9-7
(2)",1-2,"2-0
(1)",1-2,"2-0
(1)",2-1,1-2
"横浜DeNA
ベイスターズ",143,54,73,16,0.425,20,"27-37
(7)","27-36
(9)","6-17
(2)",11-14,"6-12
(7)","9-14
(2)","13-10
(2)",***,"9-6
(3)",2-1,2-1,"1-1
(1)","2-0
(1)",2-1,"0-2
(1)"
