チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
オ","対
ロ","対
ソ","対
楽","対
西","対
日","交
流
戦","対
神","対
広","対
デ","対
巨","対
ヤ","対
中"
"オリックス
バファローズ",143,86,53,4,0.619,--,"41-28
(3)","45-25
(1)",***,"15-8
(2)","13-11
(1)",15-10,17-8,"15-9
(1)",11-7,2-1,2-1,1-2,1-2,3-0,2-1
"千葉ロッテ
マリーンズ",143,70,68,5,0.5072,15.5,"42-28
(2)","28-40
(3)","8-15
(2)",***,"12-12
(1)",13-12,16-9,14-11,"7-9
(2)","0-2
(1)",2-1,1-2,1-2,2-1,"1-1
(1)"
"福岡ソフトバンク
ホークス",143,71,69,3,0.5071,15.5,39-32,"32-37
(3)","11-13
(1)","12-12
(1)",***,"10-14
(1)",13-12,14-11,11-7,2-1,2-1,2-1,1-2,3-0,1-2
"東北楽天
ゴールデンイーグルス",143,70,71,2,0.496,17,"38-33
(1)","32-38
(1)",10-15,12-13,"14-10
(1)",***,"10-14
(1)",15-10,9-9,2-1,2-1,1-2,2-1,0-3,2-1
"埼玉西武
ライオンズ",143,65,77,1,0.458,22.5,"33-37
(1)",32-40,8-17,9-16,12-13,"14-10
(1)",***,16-9,6-12,2-1,1-2,1-2,0-3,1-2,1-2
"北海道日本ハム
ファイターズ",143,60,82,1,0.423,27.5,31-40,"29-42
(1)","9-15
(1)",11-14,11-14,10-15,9-16,***,10-8,2-1,0-3,1-2,2-1,2-1,3-0
