チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
オ","対
ロ","対
楽","対
ソ","対
日","対
西","交
流
戦","対
ヤ","対
神","対
巨","対
広","対
中","対
デ"
"オリックス
バファローズ",143,70,55,18,0.56,--,"38-22
(12)","32-33
(6)",***,"10-10
(5)","10-10
(5)","13-11
(1)","10-11
(4)","15-8
(2)","12-5
(1)",2-1,2-1,"2-0
(1)",3-0,2-1,1-2
"千葉ロッテ
マリーンズ",143,67,57,19,0.54,2.5,"33-32
(7)","34-25
(12)","10-10
(5)",***,"15-9
(1)","10-12
(3)","13-7
(5)","11-10
(4)","8-9
(1)",2-1,2-1,1-2,2-1,"0-2
(1)",1-2
"東北楽天
ゴールデンイーグルス",143,66,62,15,0.516,5.5,"31-33
(8)","35-29
(7)","10-10
(5)","9-15
(1)",***,"11-10
(4)","12-11
(2)","15-8
(2)","9-8
(1)",2-1,0-3,1-2,3-0,2-1,"1-1
(1)"
"福岡ソフトバンク
ホークス",143,60,62,21,0.492,8.5,"31-29
(11)","29-33
(10)","11-13
(1)","12-10
(3)","10-11
(4)",***,"13-6
(6)","9-13
(3)","5-9
(4)",0-3,2-1,2-1,"1-0
(2)","0-2
(1)","0-2
(1)"
"北海道日本ハム
ファイターズ",143,55,68,20,0.447,14,"25-36
(10)","30-32
(10)","11-10
(4)","7-13
(5)","11-12
(2)","6-13
(6)",***,"13-9
(3)",7-11,1-2,0-3,2-1,2-1,1-2,1-2
"埼玉西武
ライオンズ",143,55,70,18,0.44,15,"30-34
(7)","25-36
(11)","8-15
(2)","10-11
(4)","8-15
(2)","13-9
(3)","9-13
(3)",***,"7-7
(4)",1-2,1-2,"0-1
(2)","1-1
(1)",2-1,"2-0
(1)"
