チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
オ","対
ソ","対
西","対
楽","対
ロ","対
日","交
流
戦","対
ヤ","対
デ","対
神","対
巨","対
広","対
中"
"オリックス
バファローズ",143,76,65,2,0.539,--,37-34,"39-31
(2)",***,15-10,11-14,"11-13
(1)",16-9,"15-9
(1)",8-10,1-2,2-1,0-3,1-2,3-0,1-2
"福岡ソフトバンク
ホークス",143,76,65,2,0.539,--,40-32,"36-33
(2)",10-15,***,"14-10
(1)",15-10,15-10,"13-11
(1)",9-9,0-3,1-2,2-1,2-1,3-0,1-2
"埼玉西武
ライオンズ",143,72,68,3,0.514,3.5,"41-29
(2)","31-39
(1)",14-11,"10-14
(1)",***,"15-9
(1)",11-14,"13-11
(1)",9-9,0-3,2-1,1-2,2-1,2-1,2-1
"東北楽天
ゴールデンイーグルス",143,69,71,3,0.493,6.5,"30-40
(1)","39-31
(2)","13-11
(1)",10-15,"9-15
(1)",***,"12-12
(1)",16-9,9-9,1-2,1-2,2-1,2-1,2-1,1-2
"千葉ロッテ
マリーンズ",143,69,73,1,0.486,7.5,"34-36
(1)",35-37,9-16,10-15,14-11,"12-12
(1)",***,14-11,10-8,1-2,2-1,1-2,1-2,2-1,3-0
"北海道日本ハム
ファイターズ",143,59,81,3,0.421,16.5,"34-35
(3)",25-46,"9-15
(1)","11-13
(1)","11-13
(1)",9-16,11-14,***,8-10,1-2,1-2,0-3,2-1,1-2,3-0
