チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
神","対
広","対
デ","対
巨","対
ヤ","対
中","交
流
戦","対
オ","対
ロ","対
ソ","対
楽","対
西","対
日"
"阪 神
タイガース",143,85,53,5,0.616,--,"45-23
(3)","40-30
(2)",***,"15-9
(1)",13-12,"18-6
(1)","17-7
(1)","15-9
(1)","7-10
(1)",1-2,"2-0
(1)",1-2,1-2,1-2,1-2
"広島東洋
カープ",143,74,65,4,0.532,11.5,"44-26
(2)","30-39
(2)","9-15
(1)",***,"14-10
(1)",17-8,"13-11
(1)","12-12
(1)",9-9,1-2,1-2,1-2,1-2,2-1,3-0
"横浜DeNA
ベイスターズ",143,74,66,3,0.529,12,"39-30
(2)","35-36
(1)",12-13,"10-14
(1)",***,11-14,"14-10
(1)","16-8
(1)",11-7,2-1,2-1,1-2,2-1,2-1,2-1
"読 売
ジャイアンツ",143,71,70,2,0.504,15.5,"39-30
(2)",32-40,"6-18
(1)",8-17,14-11,***,17-8,"15-9
(1)",11-7,2-1,2-1,2-1,1-2,3-0,1-2
"東京ヤクルト
スワローズ",143,57,83,3,0.407,29,36-36,"21-47
(3)","7-17
(1)","11-13
(1)","10-14
(1)",8-17,***,14-11,7-11,0-3,1-2,0-3,3-0,2-1,1-2
"中 日
ドラゴンズ",143,56,82,5,0.406,29,"30-39
(3)","26-43
(2)","9-15
(1)","12-12
(1)","8-16
(1)","9-15
(1)",11-14,***,"7-10
(1)",1-2,"1-1
(1)",2-1,1-2,2-1,0-3
