チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
ヤ","対
デ","対
神","対
巨","対
広","対
中","交
流
戦","対
オ","対
ソ","対
西","対
楽","対
ロ","対
日"
"東京ヤクルト
スワローズ",143,80,59,4,0.576,--,37-34,"43-25
(4)",***,16-9,"13-11
(1)","11-13
(1)","16-8
(1)","10-14
(1)",14-4,2-1,3-0,3-0,2-1,2-1,2-1
"横浜DeNA
ベイスターズ",143,73,68,2,0.518,8,"41-30
(1)","32-38
(1)",9-16,***,16-9,"13-11
(1)",8-17,"18-6
(1)",9-9,1-2,2-1,1-2,2-1,1-2,2-1
"阪 神
タイガース",143,68,71,4,0.489,12,"37-32
(3)","31-39
(1)","11-13
(1)",9-16,***,"14-10
(1)","9-14
(2)",13-12,12-6,3-0,1-2,2-1,1-2,2-1,3-0
"読 売
ジャイアンツ",143,68,72,3,0.486,12.5,"35-35
(2)","33-37
(1)","13-11
(1)","11-13
(1)","10-14
(1)",***,13-12,13-12,8-10,2-1,1-2,1-2,1-2,2-1,1-2
"広島東洋
カープ",143,66,74,3,0.471,14.5,"36-33
(2)","30-41
(1)","8-16
(1)",17-8,"14-9
(2)",12-13,***,10-15,5-13,0-3,0-3,1-2,1-2,1-2,2-1
"中 日
ドラゴンズ",143,66,75,2,0.468,15,"37-33
(1)","29-42
(1)","14-10
(1)","6-18
(1)",12-13,12-13,15-10,***,7-11,2-1,2-1,1-2,2-1,0-3,0-3
