チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
ソ","対
日","対
ロ","対
楽","対
オ","対
西","交
流
戦","対
巨","対
神","対
デ","対
広","対
ヤ","対
中"
"福岡ソフトバンク
ホークス",143,91,49,3,0.65,--,"49-21
(2)","42-28
(1)",***,"12-12
(1)","16-8
(1)",16-9,"18-6
(1)",17-8,12-6,1-2,2-1,2-1,3-0,2-1,2-1
"北海道日本ハム
ファイターズ",143,75,60,8,0.556,13.5,"41-25
(6)","34-35
(2)","12-12
(1)",***,"18-6
(1)","13-10
(2)","12-12
(1)","13-10
(2)","7-10
(1)","0-2
(1)",2-1,1-2,1-2,1-2,2-1
"千葉ロッテ
マリーンズ",143,71,66,6,0.518,18.5,"37-33
(1)","34-33
(5)","8-16
(1)","6-18
(1)",***,"13-11
(1)","16-8
(1)",21-4,"7-9
(2)",1-2,2-1,0-3,1-2,"1-0
(2)",2-1
"東北楽天
ゴールデンイーグルス",143,67,72,4,0.482,23.5,"30-39
(2)","37-33
(2)",9-16,"10-13
(2)","11-13
(1)",***,10-15,"14-10
(1)",13-5,3-0,3-0,2-1,1-2,2-1,2-1
"オリックス
バファローズ",143,63,77,3,0.45,28,"34-36
(1)","29-41
(2)","6-18
(1)","12-12
(1)","8-16
(1)",15-10,***,12-13,10-8,3-0,2-1,2-1,1-2,1-2,1-2
"埼玉西武
ライオンズ",143,49,91,3,0.35,42,"31-40
(1)","18-51
(2)",8-17,"10-13
(2)",4-21,"10-14
(1)",13-12,***,4-14,1-2,0-3,0-3,1-2,0-3,2-1
