チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
巨","対
神","対
中","対
デ","対
広","対
ヤ"
"読 売
ジャイアンツ",120,67,45,8,0.598,--,"39-18
(3)","28-27
(5)",***,16-8,"12-10
(2)",12-12,"12-9
(3)","15-6
(3)"
"阪 神
タイガース",120,60,53,7,0.531,7.5,"37-19
(4)","23-34
(3)",8-16,***,14-10,"12-9
(3)","13-8
(3)","13-10
(1)"
"中 日
ドラゴンズ",120,60,55,5,0.522,8.5,"36-20
(4)","24-35
(1)","10-12
(2)",10-14,***,15-9,"10-13
(1)","15-7
(2)"
"横浜DeNA
ベイスターズ",120,56,58,6,0.491,12,"33-24
(3)","23-34
(3)",12-12,"9-12
(3)",9-15,***,"14-8
(2)","12-11
(1)"
"広島東洋
カープ",120,52,56,12,0.481,13,"25-27
(8)","27-29
(4)","9-12
(3)","8-13
(3)","13-10
(1)","8-14
(2)",***,"14-7
(3)"
"東京ヤクルト
スワローズ",120,41,69,10,0.373,25,"24-34
(2)","17-35
(8)","6-15
(3)","10-13
(1)","7-15
(2)","11-12
(1)","7-14
(3)",***
