選手,年度,球団,試合,打率,安打,本塁打,打点,盗塁,出塁率,長打率,OPS,打席数
アンドリース,2022,巨人,5,0,0,0,0,0,0,0,0,3
赤星 優志,2022,巨人,31,0.056,1,0,0,0,0.056,0.056,0.112,19
石川 慎吾,2022,巨人,22,0.276,8,0,2,0,0.344,0.379,0.723,32
井納 翔一,2022,巨人,7,0,0,0,0,0,0,0,0,0
井上 温大,2022,巨人,7,0.4,2,0,0,0,0.4,0.4,0.8,7
今村 信貴,2022,巨人,55,0,0,0,0,0,0,0,0,1
ウィーラー,2022,巨人,30,0.196,11,2,5,0,0.297,0.339,0.636,64
ウォーカー,2022,巨人,124,0.271,110,23,52,5,0.306,0.515,0.821,428
大江 竜聖,2022,巨人,3,0,0,0,0,0,0,0,0,0
大城 卓三,2022,巨人,115,0.266,92,13,43,1,0.339,0.416,0.755,393
岡田 悠希,2022,巨人,33,0.095,2,0,0,0,0.136,0.095,0.231,22
岡本 和真,2022,巨人,140,0.252,131,30,82,1,0.336,0.469,0.805,589
鍵谷 陽平,2022,巨人,21,0,0,0,0,0,0,0,0,1
香月 一也,2022,巨人,15,0.2,7,0,2,0,0.243,0.257,0.5,37
菊地 大稀,2022,巨人,16,0,0,0,0,0,0,0,0,0
岸田 行倫,2022,巨人,25,0.257,9,0,1,0,0.316,0.257,0.573,38
喜多 隆介,2022,巨人,14,0.111,1,0,2,0,0.111,0.111,0.222,9
北村 拓己,2022,巨人,33,0.173,9,0,1,0,0.204,0.231,0.435,55
クロール,2022,巨人,21,0,0,0,0,0,0,0,0,0
鍬原 拓也,2022,巨人,49,0,0,0,0,0,0,0,0,2
小林 誠司,2022,巨人,60,0.148,13,0,5,0,0.157,0.205,0.362,91
坂本 勇人,2022,巨人,83,0.286,87,5,33,2,0.378,0.382,0.76,352
桜井 俊貴,2022,巨人,8,0,0,0,0,0,0,0,0,0
シューメーカー,2022,巨人,18,0.074,2,0,1,0,0.074,0.074,0.148,28
重信 慎之介,2022,巨人,77,0.216,24,0,9,7,0.275,0.243,0.518,128
菅野 智之,2022,巨人,23,0.047,2,0,1,0,0.068,0.047,0.115,51
大勢,2022,巨人,57,0,0,0,0,0,0,0,0,0
高木 京介,2022,巨人,17,0,0,0,0,0,0,0,0,0
高梨 雄平,2022,巨人,59,0,0,0,0,0,0,0,0,1
髙橋 優貴,2022,巨人,10,0.167,1,0,0,0,0.167,0.167,0.334,6
立岡 宗一郎,2022,巨人,54,0.204,11,1,3,3,0.246,0.278,0.524,57
デラロサ,2022,巨人,30,0,0,0,0,0,0,0,0,1
戸郷 翔征,2022,巨人,25,0.098,5,0,5,0,0.115,0.118,0.233,56
戸田 懐生,2022,巨人,14,0,0,0,0,0,0,0,0,0
