選手,年度,球団,試合,打率,安打,本塁打,打点,盗塁,出塁率,長打率,OPS,打席数
木浪 聖也,2024,阪神,116,0.214,77,1,35,1,0.285,0.265,0.55,409
桐敷 拓馬,2024,阪神,71,0,0,0,0,0,0,0,0,0
熊谷 敬宥,2024,阪神,32,0.125,1,0,0,1,0.125,0.125,0.25,9
ゲラ,2024,阪神,59,0,0,0,0,0,0,0,0,0
才木 浩人,2024,阪神,25,0.075,3,0,1,0,0.178,0.1,0.278,52
榮枝 裕貴,2024,阪神,1,0,0,0,0,0,0,0,0,0
坂本 誠志郎,2024,阪神,64,0.223,43,0,12,0,0.274,0.238,0.512,218
佐藤 輝明,2024,阪神,120,0.268,121,16,70,0,0.327,0.439,0.766,496
佐藤 蓮,2024,阪神,1,0,0,0,0,0,0,0,0,0
島田 海吏,2024,阪神,62,0.275,22,0,2,5,0.363,0.3,0.663,94
島本 浩也,2024,阪神,33,0,0,0,0,0,0,0,0,0
髙橋 遥人,2024,阪神,5,0.222,2,0,0,0,0.3,0.222,0.522,12
近本 光司,2024,阪神,141,0.285,160,6,45,19,0.365,0.363,0.728,639
富田 蓮,2024,阪神,33,0,0,0,0,0,0,0,0,0
豊田 寛,2024,阪神,11,0.211,4,0,0,0,0.211,0.263,0.474,19
長坂 拳弥,2024,阪神,5,0,0,0,0,0,0,0,0,4
中野 拓夢,2024,阪神,143,0.232,127,1,32,6,0.297,0.282,0.579,634
西 純矢,2024,阪神,4,0,0,0,0,0,0,0,0,0
西 勇輝,2024,阪神,21,0.184,7,0,4,0,0.184,0.211,0.395,39
ノイジー,2024,阪神,49,0.231,31,1,8,1,0.302,0.291,0.593,149
野口 恭佑,2024,阪神,26,0.189,10,0,5,0,0.279,0.189,0.468,61
浜地 真澄,2024,阪神,18,0,0,0,0,0,0,0,0,0
原口 文仁,2024,阪神,52,0.241,14,2,9,1,0.323,0.362,0.685,65
ビーズリー,2024,阪神,14,0,0,0,0,0,0.045,0,0.045,23
前川 右京,2024,阪神,116,0.269,87,4,42,0,0.343,0.355,0.698,362
ミエセス,2024,阪神,14,0.111,2,0,0,0,0.158,0.111,0.269,19
村上 頌樹,2024,阪神,25,0.114,5,0,3,0,0.133,0.114,0.247,48
森下 翔太,2024,阪神,129,0.275,126,16,73,0,0.363,0.441,0.804,526
門別 啓人,2024,阪神,5,0,0,0,0,0,0,0,0,2
渡邉 諒,2024,阪神,67,0.26,32,2,11,0,0.321,0.35,0.671,137
東 克樹,2024,DeNA,26,0.098,5,0,1,0,0.164,0.098,0.262,63
東妻 純平,2024,DeNA,3,0.5,1,0,1,0,0.5,1,1.5,2
石上 泰輝,2024,DeNA,26,0.183,13,0,3,2,0.247,0.239,0.486,79
石川 達也,2024,DeNA,15,0,0,0,0,0,0,0,0,0
石田 健大,2024,DeNA,6,0.083,1,0,0,0,0.083,0.083,0.166,13
石田 裕太郎,2024,DeNA,12,0,0,0,0,0,0,0,0,18
伊勢 大夢,2024,DeNA,37,0,0,0,0,0,0,0,0,0
伊藤 光,2024,DeNA,39,0.205,18,1,14,0,0.255,0.284,0.539,94
井上 絢登,2024,DeNA,25,0.19,8,0,4,1,0.261,0.31,0.571,48
ウィック,2024,DeNA,43,0,0,0,0,0,0,0,0,1
ウェンデルケン,2024,DeNA,28,0,0,0,0,0,0,0,0,0
蝦名 達夫,2024,DeNA,76,0.256,57,3,17,3,0.324,0.354,0.678,253
オースティン,2024,DeNA,106,0.316,125,25,69,0,0.382,0.601,0.983,445
大貫 晋一,2024,DeNA,15,0.083,2,0,0,0,0.12,0.083,0.203,30
梶原 昂希,2024,DeNA,91,0.292,99,4,30,16,0.314,0.392,0.706,351
神里 和毅,2024,DeNA,25,0.13,3,0,0,2,0.2,0.13,0.33,25
上茶谷 大河,2024,DeNA,18,0,0,0,0,0,0,0,0,3
京田 陽太,2024,DeNA,101,0.245,53,1,27,3,0.284,0.301,0.585,236
京山 将弥,2024,DeNA,23,0,0,0,0,0,0,0,0,2
楠本 泰史,2024,DeNA,18,0.172,5,0,5,0,0.226,0.207,0.433,31
桑原 将志,2024,DeNA,106,0.27,77,5,24,8,0.321,0.365,0.686,321
ケイ,2024,DeNA,24,0,0,0,1,0,0.073,0,0.073,46
小園 健太,2024,DeNA,1,0,0,0,0,0,0,0,0,0
坂本 裕哉,2024,DeNA,48,0,0,0,0,0,0,0,0,0
佐々木 千隼,2024,DeNA,28,0,0,0,0,0,0,0,0,0
佐野 恵太,2024,DeNA,139,0.273,143,8,62,0,0.322,0.384,0.706,566
ジャクソン,2024,DeNA,25,0.098,4,0,1,0,0.14,0.098,0.238,51
柴田 竜拓,2024,DeNA,82,0.261,6,0,2,1,0.37,0.261,0.631,34
関根 大気,2024,DeNA,79,0.227,29,0,4,2,0.298,0.242,0.54,142
平良 拳太郎,2024,DeNA,4,0.2,2,0,1,0,0.2,0.2,0.4,10
知野 直人,2024,DeNA,24,0.111,2,0,2,1,0.273,0.167,0.44,22
筒香 嘉智,2024,DeNA,57,0.188,28,7,23,0,0.274,0.409,0.683,168
ディアス,2024,DeNA,7,0,0,0,0,0,0,0,0,0
徳山 壮磨,2024,DeNA,29,0,0,0,0,0,0,0,0,0
戸柱 恭孝,2024,DeNA,46,0.244,22,0,4,0,0.292,0.289,0.581,97
中川 虎大,2024,DeNA,31,0,0,0,0,0,0,0,0,0
中川 颯,2024,DeNA,29,0.25,3,1,3,0,0.25,0.5,0.75,14
西浦 直亨,2024,DeNA,8,0.267,4,0,1,0,0.353,0.4,0.753,17
濵口 遥大,2024,DeNA,11,0.214,3,0,0,0,0.267,0.214,0.481,15
林 琢真,2024,DeNA,63,0.167,17,0,7,6,0.232,0.235,0.467,114
フォード,2024,DeNA,6,0.2,4,1,2,0,0.273,0.35,0.623,22
堀岡 隼人,2024,DeNA,6,0,0,0,0,0,0,0,0,0
牧 秀悟,2024,DeNA,133,0.294,152,23,74,11,0.346,0.491,0.837,561
松尾 汐恩,2024,DeNA,27,0.211,8,0,1,0,0.25,0.289,0.539,40
松本 隆之介,2024,DeNA,1,0,0,0,0,0,0,0,0,3
松本 凌人,2024,DeNA,10,0,0,0,0,0,0,0,0,0
三嶋 一輝,2024,DeNA,7,0,0,0,0,0,0,0,0,0
宮城 滝太,2024,DeNA,1,0,0,0,0,0,0,0,0,0
宮﨑 敏郎,2024,DeNA,125,0.283,116,14,56,1,0.371,0.444,0.815,469
森 敬斗,2024,DeNA,71,0.251,47,0,5,8,0.295,0.326,0.621,200
森 唯斗,2024,DeNA,14,0.25,1,0,0,0,0.25,0.25,0.5,5
森原 康平,2024,DeNA,58,0,0,0,0,0,0,0,0,0
山﨑 康晃,2024,DeNA,38,0,0,0,0,0,0,0,0,0
大和,2024,DeNA,42,0.247,20,0,3,1,0.289,0.259,0.548,94
山本 祐大,2024,DeNA,108,0.291,104,5,37,1,0.34,0.383,0.723,403
吉野 光樹,2024,DeNA,7,0,0,0,0,0,0.182,0,0.182,13
度会 隆輝,2024,DeNA,75,0.255,64,3,24,2,0.306,0.327,0.633,272
アドゥワ 誠,2024,広島,20,0.034,1,0,0,0,0.034,0.034,0.068,32
會澤 翼,2024,広島,57,0.187,28,0,13,0,0.233,0.227,0.46,159
秋山 翔吾,2024,広島,138,0.289,158,4,30,6,0.328,0.351,0.679,587
石原 貴規,2024,広島,56,0.23,28,3,11,0,0.284,0.352,0.636,139
磯村 嘉孝,2024,広島,10,0,0,0,0,0,0.1,0,0.1,10
上本 崇司,2024,広島,62,0.209,27,0,7,0,0.255,0.225,0.48,146
宇草 孔基,2024,広島,41,0.242,16,3,8,3,0.306,0.409,0.715,75
内田 湘大,2024,広島,1,0.333,1,0,0,0,0.333,0.333,0.666,3
遠藤 淳志,2024,広島,3,0,0,0,0,0,0,0,0,0
大瀬良 大地,2024,広島,25,0.048,2,0,0,0,0.048,0.048,0.096,45
大道 温貴,2024,広島,4,0,0,0,0,0,0,0,0,0
大盛 穂,2024,広島,74,0.226,7,0,4,2,0.273,0.29,0.563,35
河野 佳,2024,広島,13,0,0,0,0,0,0,0,0,1
菊池 涼介,2024,広島,136,0.241,109,9,38,2,0.281,0.342,0.623,497
久保 修,2024,広島,19,0.059,1,0,0,0,0.111,0.059,0.17,18
九里 亜蓮,2024,広島,23,0,0,0,2,0,0,0,0,39
栗林 良吏,2024,広島,60,0,0,0,0,0,0,0,0,0
黒原 拓未,2024,広島,53,1,1,0,1,0,1,3,4,2
ケムナ 誠,2024,広島,5,0,0,0,0,0,0,0,0,0
コルニエル,2024,広島,16,0,0,0,0,0,0,0,0,0
小園 海斗,2024,広島,143,0.28,151,2,61,13,0.322,0.33,0.652,588
坂倉 将吾,2024,広島,121,0.279,119,12,44,3,0.328,0.412,0.74,462
佐藤 啓介,2024,広島,7,0.133,2,0,0,0,0.235,0.133,0.368,17
シャイナー,2024,広島,12,0.133,4,1,5,0,0.161,0.267,0.428,31
島内 颯太郎,2024,広島,58,0,0,0,0,0,0,0,0,0
末包 昇大,2024,広島,79,0.238,68,9,37,1,0.283,0.381,0.664,304
髙 太一,2024,広島,1,0,0,0,0,0,0,0,0,0
高橋 昂也,2024,広島,1,0,0,0,0,0,0,0,0,0
滝田 一希,2024,広島,1,0,0,0,0,0,0,0,0,1
田中 広輔,2024,広島,66,0.156,15,2,7,1,0.231,0.24,0.471,108
玉村 昇悟,2024,広島,15,0.167,3,0,2,0,0.167,0.167,0.334,19
田村 俊介,2024,広島,37,0.198,20,0,5,1,0.229,0.267,0.496,106
常廣 羽也斗,2024,広島,2,0,0,0,0,0,0,0,0,4
堂林 翔太,2024,広島,87,0.23,56,1,17,0,0.277,0.295,0.572,273
床田 寛樹,2024,広島,26,0.178,8,0,1,0,0.178,0.178,0.356,52
中﨑 翔太,2024,広島,24,0,0,0,0,0,0,0,0,0
仲田 侑仁,2024,広島,1,0.25,1,0,0,0,0.25,0.25,0.5,4
中村 健人,2024,広島,12,0.083,2,1,2,0,0.083,0.208,0.291,24
中村 奨成,2024,広島,30,0.145,10,0,1,0,0.157,0.174,0.331,70
中村 貴浩,2024,広島,11,0.208,5,0,3,0,0.208,0.208,0.416,25
韮澤 雄也,2024,広島,11,0.133,2,0,0,0,0.133,0.133,0.266,15
野間 峻祥,2024,広島,113,0.271,106,1,28,8,0.35,0.34,0.69,443
野村 祐輔,2024,広島,3,0,0,0,0,0,0,0,0,2
ハーン,2024,広島,35,0,0,0,0,0,0,0,0,0
ハッチ,2024,広島,5,0.167,1,0,1,0,0.167,0.167,0.334,7
長谷部 銀次,2024,広島,5,0,0,0,0,0,0,0,0,0
羽月 隆太郎,2024,広島,53,0.227,5,0,1,12,0.261,0.273,0.534,25
林 晃汰,2024,広島,27,0.183,11,0,2,0,0.234,0.25,0.484,64
二俣 翔一,2024,広島,80,0.196,21,1,7,1,0.259,0.262,0.521,122
塹江 敦哉,2024,広島,53,0,0,0,0,0,0,0,0,0
益田 武尚,2024,広島,10,0,0,0,0,0,0,0,0,0
松本 竜也,2024,広島,12,0,0,0,0,0,0,0,0,0
松山 竜平,2024,広島,65,0.178,13,1,10,0,0.218,0.274,0.492,78
森 翔平,2024,広島,5,0.167,1,0,0,0,0.167,0.167,0.334,8
森浦 大輔,2024,広島,53,0,0,0,0,0,0,0,0,0
森下 暢仁,2024,広島,23,0.234,11,0,3,0,0.265,0.255,0.52,52
矢崎 拓也,2024,広島,26,0,0,0,0,0,0,0,0,0
矢野 雅哉,2024,広島,137,0.26,112,2,38,13,0.322,0.333,0.655,495
レイノルズ,2024,広島,2,0,0,0,1,0,0.167,0,0.167,6
青木 宣親,2024,ヤクルト,72,0.229,27,0,9,2,0.287,0.271,0.558,129
赤羽 由紘,2024,ヤクルト,36,0.241,14,2,6,4,0.262,0.379,0.641,65
石川 雅規,2024,ヤクルト,9,0.111,1,0,0,0,0.111,0.111,0.222,12
石原 勇輝,2024,ヤクルト,1,0,0,0,0,0,0,0,0,0
石山 泰稚,2024,ヤクルト,37,0,0,0,0,0,0,0,0,0
伊藤 琉偉,2024,ヤクルト,6,0,0,0,0,0,0,0,0,1
岩田 幸宏,2024,ヤクルト,81,0.228,28,1,7,10,0.275,0.268,0.543,140
内山 壮真,2024,ヤクルト,24,0.192,10,0,3,1,0.222,0.212,0.434,54
エスパーダ,2024,ヤクルト,24,0,0,0,0,0,0,0,0,0
オスナ,2024,ヤクルト,141,0.267,144,17,72,0,0.32,0.414,0.734,585
太田 賢吾,2024,ヤクルト,18,0.204,10,0,5,0,0.22,0.265,0.485,50
大西 広樹,2024,ヤクルト,60,0,0,0,0,0,0,0,0,1
小川 泰弘,2024,ヤクルト,12,0.167,3,0,2,0,0.211,0.167,0.378,25
奥川 恭伸,2024,ヤクルト,7,0,0,0,0,0,0,0,0,10
尾仲 祐哉,2024,ヤクルト,1,0,0,0,0,0,0,0,0,0
金久保 優斗,2024,ヤクルト,5,0,0,0,0,0,0,0,0,1
嘉弥真 新也,2024,ヤクルト,9,0,0,0,0,0,0,0,0,0
川端 慎吾,2024,ヤクルト,61,0.224,13,0,6,0,0.262,0.224,0.486,61
木澤 尚文,2024,ヤクルト,55,0,0,0,0,0,0,0,0,0
北村 拓己,2024,ヤクルト,48,0.125,5,1,4,2,0.229,0.2,0.429,49
小澤 怜史,2024,ヤクルト,40,0.154,2,0,0,0,0.154,0.154,0.308,15
小森 航大郎,2024,ヤクルト,4,0,0,0,0,0,0,0,0,5
今野 龍太,2024,ヤクルト,6,0,0,0,0,0,0,0,0,0
サイスニード,2024,ヤクルト,24,0.107,3,0,1,0,0.107,0.143,0.25,36
サンタナ,2024,ヤクルト,122,0.315,132,17,70,2,0.399,0.506,0.905,484
阪口 皓亮,2024,ヤクルト,2,0,0,0,0,0,0,0,0,3
澤井 廉,2024,ヤクルト,12,0.16,4,1,4,0,0.192,0.28,0.472,27
塩見 泰隆,2024,ヤクルト,31,0.267,27,3,8,3,0.336,0.386,0.722,113
柴田 大地,2024,ヤクルト,1,0,0,0,0,0,0,0,0,0
清水 昇,2024,ヤクルト,17,0,0,0,0,0,0,0,0,0
鈴木 叶,2024,ヤクルト,2,0.5,2,0,2,0,0.5,0.5,1,4
高梨 裕稔,2024,ヤクルト,8,0,0,0,0,0,0,0,0,10
高橋 奎二,2024,ヤクルト,21,0.158,6,0,0,0,0.179,0.158,0.337,40
田口 麗斗,2024,ヤクルト,41,0,0,0,0,0,0,0,0,0
武岡 龍世,2024,ヤクルト,76,0.177,23,3,9,1,0.234,0.277,0.511,147
長岡 秀樹,2024,ヤクルト,143,0.288,163,6,58,4,0.324,0.367,0.691,611
中村 悠平,2024,ヤクルト,96,0.237,69,0,23,0,0.315,0.268,0.583,353
並木 秀尊,2024,ヤクルト,33,0.233,10,1,5,10,0.25,0.326,0.576,49
西川 遥輝,2024,ヤクルト,113,0.26,80,1,24,10,0.35,0.325,0.675,363
西田 明央,2024,ヤクルト,24,0.136,3,0,2,0,0.167,0.182,0.349,24
橋本 星哉,2024,ヤクルト,1,0,0,0,0,0,0,0,0,1
長谷川 宙輝,2024,ヤクルト,19,0,0,0,0,0,0,0,0,1
濱田 太貴,2024,ヤクルト,10,0.077,2,0,1,0,0.111,0.077,0.188,28
原 樹理,2024,ヤクルト,7,0,0,0,0,0,0,0,0,0
星 知弥,2024,ヤクルト,36,0,0,0,0,0,0,0,0,0
増田 珠,2024,ヤクルト,52,0.207,19,2,6,0,0.255,0.315,0.57,102
松本 健吾,2024,ヤクルト,3,0,0,0,0,0,0,0,0,4
松本 直樹,2024,ヤクルト,60,0.269,36,1,11,1,0.288,0.343,0.631,142
丸山 和郁,2024,ヤクルト,96,0.241,61,0,12,4,0.312,0.277,0.589,296
丸山 翔大,2024,ヤクルト,27,0,0,0,0,0,0,0,0,0
宮川 哲,2024,ヤクルト,4,0,0,0,0,0,0,0,0,0
宮本 丈,2024,ヤクルト,60,0.259,38,0,6,1,0.313,0.279,0.592,164
村上 宗隆,2024,ヤクルト,143,0.244,122,33,86,10,0.379,0.472,0.851,610
ヤフーレ,2024,ヤクルト,23,0.028,1,0,0,0,0.028,0.028,0.056,40
山崎 晃大朗,2024,ヤクルト,22,0.133,4,0,1,1,0.212,0.133,0.345,39
山田 哲人,2024,ヤクルト,110,0.226,77,14,39,1,0.306,0.397,0.703,385
山野 太一,2024,ヤクルト,14,0,0,0,1,0,0,0,0,14
山本 大貴,2024,ヤクルト,44,0,0,0,0,0,0,0,0,0
吉村 貢司郎,2024,ヤクルト,23,0.048,2,0,0,0,0.091,0.048,0.139,48
ロドリゲス,2024,ヤクルト,32,0,0,0,0,0,0,0,0,2
石垣 雅海,2024,中日,9,0.2,2,0,0,1,0.2,0.3,0.5,10
石川 昂弥,2024,中日,82,0.272,69,4,25,0,0.32,0.382,0.702,275
石橋 康太,2024,中日,11,0.208,5,0,3,0,0.231,0.292,0.523,29
板山 祐太郎,2024,中日,65,0.236,42,3,13,1,0.29,0.343,0.633,194
岩嵜 翔,2024,中日,21,0,0,0,0,0,0,0,0,0
上林 誠知,2024,中日,46,0.191,18,1,3,0,0.248,0.255,0.503,102
鵜飼 航丞,2024,中日,12,0.185,5,0,3,0,0.185,0.259,0.444,27
宇佐見 真吾,2024,中日,61,0.303,46,3,17,0,0.337,0.414,0.751,164
梅津 晃大,2024,中日,14,0.111,2,0,0,0,0.111,0.111,0.222,19
梅野 雄吾,2024,中日,18,0,0,0,0,0,0,0,0,0
大島 洋平,2024,中日,75,0.198,23,0,5,1,0.256,0.25,0.506,125
大野 雄大,2024,中日,9,0.083,1,0,1,0,0.154,0.083,0.237,15
小笠原 慎之介,2024,中日,24,0.083,3,0,0,0,0.108,0.083,0.191,44
岡林 勇希,2024,中日,123,0.256,109,0,12,10,0.304,0.294,0.598,460
尾田 剛樹,2024,中日,65,0,0,0,0,4,0,0,0,12
カリステ,2024,中日,114,0.261,97,7,36,2,0.287,0.352,0.639,393
勝野 昌慶,2024,中日,39,0,0,0,0,0,0,0,0,0
加藤 匠馬,2024,中日,86,0.171,21,0,5,0,0.184,0.228,0.412,133
川越 誠司,2024,中日,27,0.268,19,2,7,0,0.307,0.394,0.701,75
木下 拓哉,2024,中日,74,0.228,41,3,9,0,0.265,0.3,0.565,203
後藤 駿太,2024,中日,29,0.125,4,0,1,0,0.176,0.125,0.301,35
齋藤 綱記,2024,中日,56,0,0,0,0,0,0,0,0,0
清水 達也,2024,中日,60,0,0,0,0,0,0,0,0,0
祖父江 大輔,2024,中日,28,0,0,0,0,0,0,0,0,0
高橋 周平,2024,中日,60,0.26,45,2,16,0,0.316,0.329,0.645,190
髙橋 宏斗,2024,中日,21,0.077,3,0,1,0,0.1,0.103,0.203,46
田島 慎二,2024,中日,2,0,0,0,0,0,0,0,0,0
田中 幹也,2024,中日,112,0.224,70,2,23,5,0.27,0.281,0.551,343
辻本 倫太郎,2024,中日,13,0.167,3,0,0,0,0.211,0.167,0.378,20
ディカーソン,2024,中日,32,0.205,18,3,5,1,0.314,0.352,0.666,102
中島 宏之,2024,中日,15,0,0,0,1,0,0.133,0,0.133,15
中田 翔,2024,中日,62,0.217,46,4,21,0,0.249,0.321,0.57,225
仲地 礼亜,2024,中日,1,0,0,0,0,0,0,0,0,0
根尾 昂,2024,中日,3,0.5,1,0,1,0,0.5,1,1.5,2
橋本 侑樹,2024,中日,47,0,0,0,0,0,0,0,0,3
土生 翔太,2024,中日,7,0,0,0,0,0,0,0,0,3
ビシエド,2024,中日,15,0.209,9,1,2,0,0.261,0.302,0.563,46
樋口 正修,2024,中日,6,0,0,0,0,1,0,0,0,1
フェリス,2024,中日,17,0,0,0,0,0,0,0,0,0
ブライト 健太,2024,中日,35,0.239,11,2,3,0,0.314,0.37,0.684,51
福 敬登,2024,中日,13,0,0,0,0,0,0,0,0,1
福谷 浩司,2024,中日,8,0.222,2,0,2,0,0.222,0.333,0.555,10
福永 裕基,2024,中日,111,0.306,111,6,32,9,0.362,0.427,0.789,402
藤嶋 健人,2024,中日,50,1,1,0,1,0,1,1,2,1
細川 成也,2024,中日,143,0.292,156,23,67,0,0.368,0.478,0.846,600
マルティネス,2024,中日,60,0,0,0,0,0,0,0,0,0
松木平 優太,2024,中日,8,0,0,0,0,0,0,0,0,14
松葉 貴大,2024,中日,17,0.208,5,0,2,0,0.208,0.208,0.416,30
松山 晋也,2024,中日,59,0,0,0,0,0,0,0,0,0
味谷 大誠,2024,中日,3,0,0,0,0,0,0,0,0,1
三好 大倫,2024,中日,37,0.22,18,0,4,0,0.27,0.268,0.538,90
村松 開人,2024,中日,109,0.275,102,1,25,3,0.327,0.337,0.664,418
メヒア,2024,中日,15,0,0,0,0,0,0.083,0,0.083,17
柳 裕也,2024,中日,13,0.2,4,0,0,0,0.238,0.3,0.538,24
山浅 龍之介,2024,中日,3,0,0,0,0,0,0,0,0,0
山本 泰寛,2024,中日,79,0.25,39,1,9,1,0.312,0.288,0.6,179
龍空,2024,中日,17,0.159,7,0,2,1,0.178,0.182,0.36,45
ロドリゲス,2024,中日,23,0.13,7,0,1,0,0.161,0.13,0.291,59
涌井 秀章,2024,中日,16,0.045,1,0,0,0,0.087,0.091,0.178,24
有原 航平,2024,ソフトバンク,26,0,0,0,0,0,0,0,0,4
石川 柊太,2024,ソフトバンク,15,0,0,0,0,0,0,0,0,1
石塚 綜一郎,2024,ソフトバンク,15,0.194,6,1,6,0,0.333,0.29,0.623,40
井上 朋也,2024,ソフトバンク,5,0,0,0,0,0,0,0,0,10
今宮 健太,2024,ソフトバンク,133,0.262,121,6,39,1,0.331,0.372,0.703,538
