選手,年度,球団,試合,打率,安打,本塁打,打点,盗塁,出塁率,長打率,OPS,打席数
赤星 優志,2024,巨人,21,0,0,0,1,0,0,0,0,16
秋広 優人,2024,巨人,26,0.261,12,0,1,1,0.292,0.283,0.575,48
浅野 翔吾,2024,巨人,40,0.24,35,3,18,1,0.282,0.404,0.686,158
泉口 友汰,2024,巨人,66,0.201,33,1,9,1,0.28,0.268,0.548,185
泉 圭輔,2024,巨人,35,0,0,0,0,0,0,0,0,0
伊藤 優輔,2024,巨人,8,0,0,0,0,0,0,0,0,0
井上 温大,2024,巨人,25,0.143,4,0,2,0,0.172,0.143,0.315,34
今村 信貴,2024,巨人,7,0,0,0,0,0,0,0,0,0
ウレーニャ,2024,巨人,7,0,0,0,0,0,0.125,0,0.125,8
オコエ 瑠偉,2024,巨人,68,0.261,36,3,13,4,0.309,0.391,0.7,157
大江 竜聖,2024,巨人,16,0,0,0,0,0,0,0,0,0
大城 卓三,2024,巨人,96,0.254,72,3,27,0,0.33,0.346,0.676,321
岡田 悠希,2024,巨人,4,0.143,1,0,0,0,0.333,0.143,0.476,9
岡本 和真,2024,巨人,143,0.28,150,27,83,1,0.362,0.501,0.863,611
梶谷 隆幸,2024,巨人,6,0.188,3,1,2,0,0.235,0.375,0.61,17
門脇 誠,2024,巨人,129,0.243,85,0,21,9,0.319,0.274,0.593,405
岸田 行倫,2024,巨人,88,0.242,65,4,26,2,0.287,0.331,0.618,298
喜多 隆介,2024,巨人,1,0,0,0,0,0,0,0,0,1
京本 眞,2024,巨人,4,0,0,0,0,0,0,0,0,0
グリフィン,2024,巨人,20,0.1,3,0,2,0,0.1,0.167,0.267,35
ケラー,2024,巨人,52,0,0,0,0,0,0,0,0,0
郡 拓也,2024,巨人,5,0,0,0,0,0,0,0,0,4
小林 誠司,2024,巨人,42,0.152,16,1,8,1,0.233,0.21,0.443,123
坂本 勇人,2024,巨人,109,0.238,94,7,34,1,0.286,0.327,0.613,426
佐々木 俊輔,2024,巨人,59,0.231,33,0,6,2,0.275,0.28,0.555,156
重信 慎之介,2024,巨人,33,0.067,1,0,0,6,0.222,0.067,0.289,18
菅野 智之,2024,巨人,24,0.089,4,0,0,0,0.128,0.089,0.217,53
大勢,2024,巨人,43,0,0,0,0,0,0,0,0,0
高梨 雄平,2024,巨人,51,0,0,0,0,0,0,0,0,0
高橋 礼,2024,巨人,11,0.154,2,0,0,0,0.154,0.154,0.308,13
立岡 宗一郎,2024,巨人,48,0.214,18,0,8,3,0.305,0.214,0.519,99
田中 千晴,2024,巨人,3,0,0,0,0,0,0,0,0,0
長野 久義,2024,巨人,54,0.258,23,0,14,1,0.327,0.315,0.642,98
戸郷 翔征,2024,巨人,26,0.051,2,0,2,0,0.075,0.051,0.126,56
中川 皓太,2024,巨人,15,0,0,0,0,0,0,0,0,0
中山 礼都,2024,巨人,32,0.318,14,0,2,0,0.375,0.386,0.761,48
西舘 勇陽,2024,巨人,28,0,0,0,0,0,0,0,0,2
バルドナード,2024,巨人,58,0,0,0,0,0,0,0,0,0
萩尾 匡也,2024,巨人,56,0.215,32,2,12,0,0.272,0.336,0.608,163
畠 世周,2024,巨人,1,0,0,0,0,0,0,0,0,0
馬場 皐輔,2024,巨人,1,0,0,0,0,0,0,0,0,0
船迫 大雅,2024,巨人,51,0,0,0,1,0,0,0,0,1
ヘルナンデス,2024,巨人,56,0.294,65,8,30,0,0.346,0.452,0.798,240
平内 龍太,2024,巨人,31,0,0,0,0,0,0,0,0,0
堀田 賢慎,2024,巨人,17,0.111,1,0,0,0,0.111,0.111,0.222,11
増田 大輝,2024,巨人,40,0.2,6,0,4,4,0.226,0.3,0.526,38
増田 陸,2024,巨人,4,0,0,0,0,0,0.167,0,0.167,6
又木 鉄平,2024,巨人,3,0,0,0,0,0,0,0,0,1
松井 颯,2024,巨人,2,0,0,0,0,0,0,0,0,0
松原 聖弥,2024,巨人,9,0.154,2,0,2,0,0.313,0.154,0.467,16
丸 佳浩,2024,巨人,138,0.278,146,14,45,8,0.36,0.396,0.756,595
メンデス,2024,巨人,2,0,0,0,0,0,0,0,0,1
モンテス,2024,巨人,46,0.272,41,1,14,1,0.308,0.391,0.699,159
山﨑 伊織,2024,巨人,24,0.136,6,0,4,0,0.156,0.182,0.338,53
山瀬 慎之助,2024,巨人,2,0.333,2,0,0,0,0.333,0.333,0.666,6
湯浅 大,2024,巨人,19,0.167,1,0,2,0,0.167,0.167,0.334,7
横川 凱,2024,巨人,12,0.25,1,0,1,0,0.25,0.25,0.5,8
吉川 尚輝,2024,巨人,143,0.287,154,5,46,12,0.341,0.377,0.718,602
若林 楽人,2024,巨人,27,0.214,9,1,7,1,0.25,0.357,0.607,44
青柳 晃洋,2024,阪神,12,0,0,0,2,0,0.071,0,0.071,18
石井 大智,2024,阪神,56,0,0,0,0,0,0,0,0,0
石黒 佑弥,2024,阪神,3,0,0,0,0,0,0,0,0,0
伊藤 将司,2024,阪神,18,0.056,1,0,0,0,0.056,0.056,0.112,22
糸原 健斗,2024,阪神,89,0.216,24,0,9,0,0.313,0.234,0.547,128
井上 広大,2024,阪神,23,0.212,11,3,8,1,0.255,0.423,0.678,55
岩崎 優,2024,阪神,60,0,0,0,0,0,0,0,0,0
岩貞 祐太,2024,阪神,2,0,0,0,0,0,0,0,0,0
植田 海,2024,阪神,59,0.273,3,0,3,4,0.273,0.455,0.728,11
梅野 隆太郎,2024,阪神,95,0.209,56,0,15,0,0.289,0.243,0.532,318
漆原 大晟,2024,阪神,38,0,0,0,0,0,0,0,0,0
大竹 耕太郎,2024,阪神,24,0.174,8,0,3,0,0.174,0.196,0.37,51
大山 悠輔,2024,阪神,130,0.259,125,14,68,0,0.338,0.383,0.721,545
岡留 英貴,2024,阪神,35,0,0,0,0,0,0,0,0,0
小野寺 暖,2024,阪神,25,0.148,4,0,0,0,0.179,0.222,0.401,29
小幡 竜平,2024,阪神,50,0.241,28,1,9,2,0.313,0.31,0.623,135
及川 雅貴,2024,阪神,9,0.5,3,0,1,0,0.5,0.5,1,6
加治屋 蓮,2024,阪神,13,0,0,0,0,0,0,0,0,0
川原 陸,2024,阪神,1,0,0,0,0,0,0,0,0,0
