選手,年度,球団,試合,打率,安打,本塁打,打点,盗塁,出塁率,長打率,OPS,打席数
石川 慎吾,2020,巨人,43,0.244,11,2,7,0,0.277,0.4,0.677,47
今村 信貴,2020,巨人,12,0.05,1,0,2,0,0.095,0.05,0.145,24
ウィーラー,2020,巨人,98,0.247,65,12,36,3,0.309,0.418,0.727,288
ウレーニャ,2020,巨人,11,0.167,3,0,0,0,0.25,0.167,0.417,20
大江 竜聖,2020,巨人,43,0,0,0,0,0,0,0,0,1
大城 卓三,2020,巨人,93,0.27,74,9,41,1,0.339,0.412,0.751,308
大竹 寛,2020,巨人,29,0,0,0,0,0,0,0,0,0
岡本 和真,2020,巨人,118,0.275,121,31,97,2,0.362,0.545,0.907,500
鍵谷 陽平,2020,巨人,46,0,0,0,0,0,0,0,0,0
香月 一也,2020,巨人,8,0,0,0,0,0,0,0,0,9
加藤 脩平,2020,巨人,1,0,0,0,0,0,0,0,0,1
亀井 善行,2020,巨人,51,0.255,36,2,17,0,0.31,0.348,0.658,156
岸田 行倫,2020,巨人,34,0.302,13,1,5,0,0.34,0.442,0.782,48
北村 拓己,2020,巨人,57,0.227,17,2,10,0,0.326,0.333,0.659,88
鍬原 拓也,2020,巨人,5,0,0,0,0,0,0,0,0,1
小林 誠司,2020,巨人,10,0.056,1,0,0,0,0.15,0.056,0.206,21
サンチェス,2020,巨人,15,0.034,1,0,0,0,0.034,0.034,0.068,34
坂本 勇人,2020,巨人,115,0.289,119,19,65,4,0.379,0.5,0.879,479
桜井 俊貴,2020,巨人,25,0.067,1,0,0,0,0.125,0.067,0.192,18
澤村 拓一,2020,巨人,13,0,0,0,0,0,0,0,0,1
重信 慎之介,2020,巨人,60,0.256,23,1,6,5,0.302,0.367,0.669,96
菅野 智之,2020,巨人,20,0.091,4,0,3,0,0.111,0.159,0.27,53
炭谷 銀仁朗,2020,巨人,56,0.18,18,1,7,0,0.252,0.23,0.482,114
高木 京介,2020,巨人,17,0,0,0,0,0,0,0,0,0
高梨 雄平,2020,巨人,44,0,0,0,0,0,0,0,0,0
