選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
赤星 優志,2023,巨人,12,5,5,0,0,4,0.5,69,26
井上 温大,2023,巨人,4,0,1,0,0,1,0,12,15
今村 信貴,2023,巨人,24,0,0,0,2,1,0,26,11
大江 竜聖,2023,巨人,32,4,0,0,10,2,1,22,10
鍵谷 陽平,2023,巨人,13,2,0,1,4,0,1,11,4
菊地 大稀,2023,巨人,50,4,4,1,15,1,0.5,47,18
北村 拓己,2023,巨人,1,0,0,0,0,0,0,1,1
グリフィン,2023,巨人,20,6,5,0,0,6,0.545,121,37
鍬原 拓也,2023,巨人,5,0,0,0,1,2,0,5,5
代木 大和,2023,巨人,13,0,0,0,0,2,0,16,10
菅野 智之,2023,巨人,14,4,8,0,0,3,0.333,77,29
鈴木 康平,2023,巨人,33,1,1,0,14,3,0.5,27,20
大勢,2023,巨人,27,3,0,14,4,1,1,26,13
高木 京介,2023,巨人,1,0,0,0,0,1,0,2,0
高梨 雄平,2023,巨人,55,2,1,0,25,4,0.667,43,20
髙橋 優貴,2023,巨人,6,0,1,0,0,2,0,14,8
田中 千晴,2023,巨人,30,2,3,0,5,0,0.4,32,20
田中 豊樹,2023,巨人,15,0,1,0,3,0,0,11,5
戸郷 翔征,2023,巨人,24,12,5,0,0,3,0.706,170,45
直江 大輔,2023,巨人,16,0,1,0,6,0,0,14,6
中川 皓太,2023,巨人,44,1,4,14,18,1,0.2,43,10
バルドナード,2023,巨人,21,2,1,0,9,0,0.667,21,4
ビーディ,2023,巨人,30,0,6,1,7,4,0,49,22
船迫 大雅,2023,巨人,36,3,1,0,11,3,0.75,30,9
平内 龍太,2023,巨人,11,0,1,0,1,0,0,13,6
堀田 賢慎,2023,巨人,3,0,0,0,0,0,0,3,3
堀岡 隼人,2023,巨人,3,0,0,0,0,0,0,3,5
松井 颯,2023,巨人,8,1,1,0,2,0,0.5,19,7
三上 朋也,2023,巨人,22,0,1,0,7,4,0,15,8
メンデス,2023,巨人,16,5,5,0,0,5,0.5,87,20
山﨑 伊織,2023,巨人,23,10,5,0,0,7,0.667,149,45
横川 凱,2023,巨人,20,4,8,0,2,4,0.333,84,37
ロペス,2023,巨人,8,0,1,0,0,0,0,6,3
青柳 晃洋,2023,阪神,18,8,6,0,0,9,0.571,100,51
秋山 拓巳,2023,阪神,2,0,1,0,0,0,0,9,8
石井 大智,2023,阪神,44,1,1,0,20,1,0.5,40,6
伊藤 将司,2023,阪神,21,10,5,0,0,4,0.667,146,39
岩崎 優,2023,阪神,60,3,3,35,15,2,0.5,56,11
岩貞 祐太,2023,阪神,50,1,0,0,25,2,1,43,13
大竹 耕太郎,2023,阪神,21,12,2,0,0,3,0.857,131,33
岡留 英貴,2023,阪神,8,1,0,0,1,0,1,7,1
及川 雅貴,2023,阪神,33,3,1,0,10,2,0.75,36,9
加治屋 蓮,2023,阪神,51,1,5,1,17,2,0.167,38,11
桐敷 拓馬,2023,阪神,27,2,0,0,15,0,1,40,8
Ｋ．ケラー,2023,阪神,27,1,0,1,9,1,1,26,5
小林 慶祐,2023,阪神,1,0,0,0,0,0,0,1,0
才木 浩人,2023,阪神,19,8,5,0,1,2,0.615,118,24
島本 浩也,2023,阪神,35,4,2,0,19,1,0.667,26,5
富田 蓮,2023,阪神,9,1,2,0,1,0,0.333,16,8
