選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
西 純矢,2023,阪神,17,5,2,0,0,3,0.714,72,31
西 勇輝,2023,阪神,18,8,5,0,0,8,0.615,108,43
馬場 皐輔,2023,阪神,19,2,1,0,5,0,0.667,22,6
浜地 真澄,2023,阪神,30,3,1,0,9,0,0.75,27,18
ビーズリー,2023,阪神,18,1,2,0,0,1,0.333,41,10
ブルワー,2023,阪神,13,0,1,0,2,0,0,11,3
村上 頌樹,2023,阪神,22,10,6,0,1,1,0.625,144,28
門別 啓人,2023,阪神,2,0,0,0,0,0,0,8,3
湯浅 京己,2023,阪神,15,0,2,8,3,0,0,14,7
東 克樹,2023,DeNA,24,16,3,0,0,1,0.842,172,38
石川 達也,2023,DeNA,28,0,0,0,3,2,0,32,7
石田 健大,2023,DeNA,23,4,9,0,0,5,0.308,118,52
伊勢 大夢,2023,DeNA,58,4,6,2,37,0,0.4,50,18
今永 昇太,2023,DeNA,22,7,4,0,0,4,0.636,148,46
入江 大生,2023,DeNA,32,1,1,0,8,2,0.5,30,9
ウェンデルケン,2023,DeNA,61,2,2,3,35,3,0.5,59,11
エスコバー,2023,DeNA,40,2,1,0,13,2,0.667,31,16
大貫 晋一,2023,DeNA,13,5,4,0,0,4,0.556,76,25
ガゼルマン,2023,DeNA,13,3,5,0,0,4,0.375,64,32
笠原 祥太郎,2023,DeNA,2,0,2,0,0,0,0,6,3
上茶谷 大河,2023,DeNA,46,5,3,0,9,4,0.625,64,15
坂本 裕哉,2023,DeNA,13,0,1,0,0,2,0,25,16
平良 拳太郎,2023,DeNA,11,4,4,0,0,0,0.5,59,23
田中 健二朗,2023,DeNA,11,0,0,0,1,0,0,11,5
中川 虎大,2023,DeNA,9,0,1,0,0,0,0,10,3
バウアー,2023,DeNA,19,10,4,0,0,4,0.714,130,40
濵口 遥大,2023,DeNA,14,3,7,0,0,0,0.3,68,34
三浦 銀二,2023,DeNA,1,0,0,0,0,0,0,1,4
三嶋 一輝,2023,DeNA,27,3,1,0,9,2,0.75,22,12
宮城 滝太,2023,DeNA,11,0,0,0,3,1,0,16,7
宮國 椋丞,2023,DeNA,2,0,0,0,0,0,0,4,3
森原 康平,2023,DeNA,46,2,1,17,12,2,0.667,42,11
山﨑 康晃,2023,DeNA,49,3,7,20,11,1,0.3,45,22
アドゥワ 誠,2023,広島,14,1,0,0,2,1,1,16,6
アンダーソン,2023,広島,21,4,1,0,3,2,0.8,45,11
一岡 竜司,2023,広島,1,0,0,0,0,0,0,0,0
遠藤 淳志,2023,広島,8,1,5,0,0,2,0.167,41,20
大瀬良 大地,2023,広島,23,6,11,0,0,4,0.353,129,52
大道 温貴,2023,広島,48,3,1,0,13,3,0.75,49,15
河野 佳,2023,広島,8,0,1,0,0,1,0,12,13
九里 亜蓮,2023,広島,26,8,8,0,0,10,0.5,174,49
栗林 良吏,2023,広島,55,3,7,18,18,1,0.3,52,17
黒原 拓未,2023,広島,5,0,1,0,0,0,0,12,15
ケムナ 誠,2023,広島,24,2,0,0,3,0,1,26,11
コルニエル,2023,広島,8,1,4,0,0,2,0.2,42,24
島内 颯太郎,2023,広島,62,3,3,2,42,0,0.5,58,15
ターリー,2023,広島,44,7,1,1,29,2,0.875,41,8
玉村 昇悟,2023,広島,9,3,1,0,0,2,0.75,45,25
床田 寛樹,2023,広島,24,11,7,0,0,5,0.611,156,38
戸根 千明,2023,広島,24,1,0,0,6,0,1,21,11
中﨑 翔太,2023,広島,35,1,0,0,8,2,1,33,10
中村 祐太,2023,広島,5,0,0,0,0,0,0,7,1
野村 祐輔,2023,広島,6,1,1,0,0,1,0.5,31,4
塹江 敦哉,2023,広島,8,0,0,0,2,0,0,7,4
益田 武尚,2023,広島,8,1,0,0,1,0,1,11,2
松本 竜也,2023,広島,13,0,3,1,8,0,0,10,5
森 翔平,2023,広島,12,4,2,0,0,1,0.667,51,26
森浦 大輔,2023,広島,13,0,0,0,0,0,0,11,8
森下 暢仁,2023,広島,20,9,6,0,0,2,0.6,131,44
矢崎 拓也,2023,広島,54,4,2,24,14,0,0.667,51,16
薮田 和樹,2023,広島,3,0,0,0,0,2,0,4,4
石川 雅規,2023,ヤクルト,13,2,5,0,0,0,0.286,63,28
石山 泰稚,2023,ヤクルト,50,3,6,0,27,3,0.333,47,23
市川 悠太,2023,ヤクルト,4,0,2,0,0,4,0,14,13
梅野 雄吾,2023,ヤクルト,5,0,0,0,0,0,0,8,3
エスピナル,2023,ヤクルト,3,0,0,0,0,0,0,5,3
大西 広樹,2023,ヤクルト,46,2,2,0,8,3,0.5,55,22
小川 泰弘,2023,ヤクルト,23,10,8,0,0,4,0.556,144,54
尾仲 祐哉,2023,ヤクルト,11,0,1,0,0,1,0,15,9
金久保 優斗,2023,ヤクルト,1,0,0,0,0,2,0,4,0
木澤 尚文,2023,ヤクルト,56,2,3,0,22,5,0.4,53,16
久保 拓眞,2023,ヤクルト,5,0,0,0,1,1,0,3,2
小澤 怜史,2023,ヤクルト,29,6,4,0,2,9,0.6,101,34
今野 龍太,2023,ヤクルト,26,1,0,0,3,2,1,31,13
サイスニード,2023,ヤクルト,23,7,8,0,0,3,0.467,135,55
阪口 皓亮,2023,ヤクルト,13,0,2,0,2,0,0,16,6
清水 昇,2023,ヤクルト,56,1,8,0,39,2,0.111,54,18
高梨 裕稔,2023,ヤクルト,15,0,3,0,1,1,0,40,21
高橋 奎二,2023,ヤクルト,20,4,9,0,0,6,0.308,101,52
田口 麗斗,2023,ヤクルト,50,3,5,33,9,0,0.375,48,10
成田 翔,2023,ヤクルト,3,0,0,0,0,2,0,3,2
長谷川 宙輝,2023,ヤクルト,1,0,0,0,0,0,0,2,3
ピーターズ,2023,ヤクルト,18,6,5,0,0,5,0.545,100,36
星 知弥,2023,ヤクルト,47,2,2,0,22,1,0.5,40,15
丸山 翔大,2023,ヤクルト,22,0,0,0,0,2,0,26,12
山野 太一,2023,ヤクルト,5,1,3,0,0,1,0.25,26,12
山本 大貴,2023,ヤクルト,42,2,0,0,11,3,1,35,10
吉村 貢司郎,2023,ヤクルト,12,4,2,0,0,2,0.667,60,29
ロドリゲス,2023,ヤクルト,7,1,5,0,0,1,0.167,33,15
上田 洸太朗,2023,中日,13,0,0,0,0,0,0,20,10
梅津 晃大,2023,中日,3,1,1,0,0,2,0.5,19,2
大野 雄大,2023,中日,1,0,1,0,0,0,0,7,0
小笠原 慎之介,2023,中日,25,7,12,0,0,4,0.368,160,64
岡野 祐一郎,2023,中日,15,0,0,0,0,3,0,22,14
勝野 昌慶,2023,中日,50,5,2,1,25,2,0.714,49,11
近藤 廉,2023,中日,1,0,0,0,0,1,0,1,8
齋藤 綱記,2023,中日,31,2,0,0,13,1,1,24,2
清水 達也,2023,中日,50,3,3,0,28,1,0.5,46,16
鈴木 博志,2023,中日,9,1,2,0,1,2,0.333,24,11
砂田 毅樹,2023,中日,18,0,1,0,1,0,0,13,7
祖父江 大輔,2023,中日,45,3,5,0,16,1,0.375,40,16
髙橋 宏斗,2023,中日,25,7,11,0,0,9,0.389,146,41
田島 慎二,2023,中日,32,1,2,0,11,1,0.333,29,16
谷元 圭介,2023,中日,7,0,0,0,0,0,0,5,5
仲地 礼亜,2023,中日,9,2,5,0,0,0,0.286,43,24
根尾 昂,2023,中日,2,0,0,0,0,0,0,12,1
橋本 侑樹,2023,中日,13,1,0,0,1,3,1,15,2
フェリス,2023,中日,19,1,0,0,10,2,1,14,5
福 敬登,2023,中日,29,1,0,0,13,1,1,17,5
福島 章太,2023,中日,4,0,0,0,0,1,0,3,5
福谷 浩司,2023,中日,14,3,4,0,0,1,0.429,54,31
藤嶋 健人,2023,中日,56,1,1,4,15,1,0.5,50,6
マルティネス,2023,中日,48,3,1,32,12,0,0.75,46,2
松葉 貴大,2023,中日,11,1,4,0,0,1,0.2,57,21
松山 晋也,2023,中日,36,1,1,0,18,6,0.5,35,5
メヒア,2023,中日,8,3,1,0,0,2,0.75,44,11
柳 裕也,2023,中日,24,4,11,0,0,4,0.267,158,43
山本 拓実,2023,中日,14,0,1,0,0,0,0,13,8
涌井 秀章,2023,中日,21,5,13,0,0,2,0.278,111,49
有原 航平,2023,ソフトバンク,17,10,5,0,0,7,0.667,120,31
石川 柊太,2023,ソフトバンク,23,4,8,0,0,8,0.333,125,58
泉 圭輔,2023,ソフトバンク,3,0,0,0,0,2,0,2,5
オスナ,2023,ソフトバンク,49,3,2,26,15,0,0.6,49,5
大関 友久,2023,ソフトバンク,17,5,7,0,0,6,0.417,104,34
大津 亮介,2023,ソフトバンク,46,2,0,0,15,2,1,40,11
尾形 崇斗,2023,ソフトバンク,12,0,1,0,0,1,0,18,8
ガンケル,2023,ソフトバンク,5,0,1,0,0,2,0,17,11
甲斐野 央,2023,ソフトバンク,46,3,1,2,11,2,0.75,42,12
笠谷 俊介,2023,ソフトバンク,8,0,0,0,0,0,0,11,2
嘉弥真 新也,2023,ソフトバンク,23,1,0,0,8,1,1,12,7
椎野 新,2023,ソフトバンク,11,0,1,0,0,0,0,16,7
スチュワート・ジュニア,2023,ソフトバンク,14,3,6,0,0,1,0.333,77,29
田浦 文丸,2023,ソフトバンク,45,2,1,0,9,7,0.667,34,9
高橋 礼,2023,ソフトバンク,5,0,2,0,0,1,0,11,14
武田 翔太,2023,ソフトバンク,29,1,2,0,3,2,0.333,46,20
津森 宥紀,2023,ソフトバンク,56,4,4,0,26,3,0.5,48,19
板東 湧梧,2023,ソフトバンク,30,5,4,0,3,3,0.556,83,28
東浜 巨,2023,ソフトバンク,17,6,7,0,0,0,0.462,99,50
藤井 皓哉,2023,ソフトバンク,34,5,3,0,9,7,0.625,69,18
古川 侑利,2023,ソフトバンク,9,0,0,0,0,0,0,10,5
ヘルナンデス,2023,ソフトバンク,1,0,0,0,0,1,0,0,2
又吉 克樹,2023,ソフトバンク,32,2,2,0,12,2,0.5,28,7
松本 晴,2023,ソフトバンク,3,0,1,0,0,1,0,6,5
松本 裕樹,2023,ソフトバンク,53,2,2,0,27,0,0.5,47,14
モイネロ,2023,ソフトバンク,27,3,0,5,16,0,1,27,3
森 唯斗,2023,ソフトバンク,6,2,3,0,0,0,0.4,29,15
和田 毅,2023,ソフトバンク,21,8,6,0,0,3,0.571,100,36
井口 和朋,2023,日本ハム,5,0,0,0,0,0,0,5,3
池田 隆英,2023,日本ハム,51,1,5,0,26,2,0.167,50,16
石川 直也,2023,日本ハム,16,0,0,1,3,1,0,15,10
伊藤 大海,2023,日本ハム,24,7,10,0,0,8,0.412,153,59
上原 健太,2023,日本ハム,19,4,7,0,0,4,0.364,101,31
上沢 直之,2023,日本ハム,24,9,9,0,0,5,0.5,170,56
加藤 貴之,2023,日本ハム,24,7,9,0,0,1,0.438,163,52
金村 尚真,2023,日本ハム,4,2,1,0,0,0,0.667,25,5
河野 竜生,2023,日本ハム,50,1,4,0,21,3,0.2,42,8
北浦 竜次,2023,日本ハム,12,0,0,0,0,0,0,11,4
北山 亘基,2023,日本ハム,14,6,5,0,0,0,0.545,66,25
齋藤 綱記,2023,日本ハム,4,1,0,0,1,0,1,3,4
杉浦 稔大,2023,日本ハム,24,0,1,0,0,2,0,22,7
鈴木 健矢,2023,日本ハム,24,6,4,0,2,3,0.6,65,19
立野 和明,2023,日本ハム,4,0,1,0,0,0,0,6,4
田中 瑛斗,2023,日本ハム,2,0,0,0,0,1,0,8,5
田中 正義,2023,日本ハム,47,2,3,25,10,0,0.4,46,18
玉井 大翔,2023,日本ハム,50,0,2,2,10,3,0,37,11
生田目 翼,2023,日本ハム,5,0,1,0,0,2,0,8,2
根本 悠楓,2023,日本ハム,5,3,1,0,0,3,0.75,25,8
長谷川 威展,2023,日本ハム,9,0,0,0,0,1,0,8,1
福田 俊,2023,日本ハム,29,1,0,0,4,2,1,26,0
ポンセ,2023,日本ハム,10,4,5,0,0,3,0.444,51,21
堀 瑞輝,2023,日本ハム,5,1,0,0,1,0,1,4,4
マーベル,2023,日本ハム,8,2,2,0,2,1,0.5,21,6
宮内 春輝,2023,日本ハム,15,1,0,0,2,0,1,16,12
宮西 尚生,2023,日本ハム,31,1,3,1,14,3,0.25,23,7
メネズ,2023,日本ハム,12,0,2,0,0,2,0,25,9
矢澤 宏太,2023,日本ハム,2,0,0,0,0,0,0,2,0
山本 拓実,2023,日本ハム,26,0,0,0,3,0,0,24,4
吉田 輝星,2023,日本ハム,3,0,0,0,0,0,0,3,3
ロドリゲス,2023,日本ハム,37,1,7,0,13,0,0.125,35,20
東 晃平,2023,オリックス,10,6,0,0,0,5,1,52,12
阿部 翔太,2023,オリックス,49,3,5,1,24,5,0.375,46,14
宇田川 優希,2023,オリックス,46,4,0,2,24,2,1,45,9
漆原 大晟,2023,オリックス,16,0,0,0,1,3,0,21,7
小野 泰己,2023,オリックス,5,0,0,0,0,1,0,6,4
黒木 優太,2023,オリックス,12,1,5,0,1,1,0.167,26,19
コットン,2023,オリックス,7,1,1,0,2,1,0.5,18,12
小木田 敦也,2023,オリックス,38,4,0,0,11,0,1,49,12
近藤 大亮,2023,オリックス,12,0,1,0,0,1,0,12,7
齋藤 響介,2023,オリックス,1,0,0,0,0,2,0,4,0
曽谷 龍平,2023,オリックス,10,1,2,0,0,1,0.333,32,14
竹安 大知,2023,オリックス,2,0,2,0,0,1,0,4,5
田嶋 大樹,2023,オリックス,13,6,4,0,0,2,0.6,81,28
ニックス,2023,オリックス,2,0,1,0,0,0,0,6,7
比嘉 幹貴,2023,オリックス,31,2,0,0,8,2,1,20,5
平野 佳寿,2023,オリックス,42,3,2,29,8,0,0.6,40,5
本田 仁海,2023,オリックス,28,2,1,0,9,0,0.667,32,23
前 佑囲斗,2023,オリックス,2,0,0,0,0,0,0,2,0
宮城 大弥,2023,オリックス,22,10,4,0,0,5,0.714,146,37
村西 良太,2023,オリックス,7,0,1,0,0,1,0,11,8
山岡 泰輔,2023,オリックス,31,2,1,3,9,3,0.667,94,24
山﨑 福也,2023,オリックス,23,11,5,0,0,5,0.688,130,47
山﨑 颯一郎,2023,オリックス,53,1,1,9,28,0,0.5,52,12
山下 舜平大,2023,オリックス,16,9,3,0,0,4,0.75,95,17
山田 修義,2023,オリックス,32,0,0,0,6,1,0,31,4
山本 由伸,2023,オリックス,23,16,6,0,0,6,0.727,164,22
横山 楓,2023,オリックス,4,0,1,0,0,0,0,3,3
吉田 凌,2023,オリックス,19,0,0,0,4,1,0,16,6
ワゲスパック,2023,オリックス,31,4,7,2,7,1,0.364,43,28
安樂 智大,2023,楽天,57,3,2,0,13,8,0.6,47,16
石橋 良太,2023,楽天,2,0,0,0,0,0,0,3,7
伊藤 茉央,2023,楽天,25,1,0,0,4,3,1,22,8
内 星龍,2023,楽天,53,4,2,0,11,1,0.667,55,14
辛島 航,2023,楽天,10,1,5,0,0,1,0.167,51,26
岸 孝之,2023,楽天,20,9,5,0,0,3,0.643,120,41
小孫 竜二,2023,楽天,4,0,0,0,0,0,0,4,4
酒居 知史,2023,楽天,47,5,3,1,25,0,0.625,42,14
塩見 貴洋,2023,楽天,1,0,1,0,0,0,0,4,4
荘司 康誠,2023,楽天,19,5,3,0,0,5,0.625,109,41
鈴木 翔天,2023,楽天,61,1,1,1,23,3,0.5,43,16
宋 家豪,2023,楽天,49,2,1,0,18,0,0.667,46,15
高田 孝一,2023,楽天,7,0,0,0,0,0,0,9,2
瀧中 瞭太,2023,楽天,8,2,4,0,0,1,0.333,42,18
田中 将大,2023,楽天,24,7,11,0,0,5,0.389,139,76
津留﨑 大成,2023,楽天,7,0,0,0,0,0,0,9,2
西垣 雅矢,2023,楽天,1,0,0,0,0,1,0,0,3
西口 直人,2023,楽天,26,0,4,0,7,0,0,23,12
則本 昂大,2023,楽天,24,8,8,0,0,1,0.5,155,45
バニュエロス,2023,楽天,1,0,0,0,0,0,0,0,6
早川 隆久,2023,楽天,17,6,7,0,0,2,0.462,96,37
藤井 聖,2023,楽天,10,3,0,0,0,0,1,35,9
藤平 尚真,2023,楽天,11,2,4,0,0,1,0.333,50,25
松井 友飛,2023,楽天,6,1,2,0,0,0,0.333,18,8
松井 裕樹,2023,楽天,59,2,3,39,10,0,0.4,57,10
宮森 智志,2023,楽天,24,0,2,0,3,0,0,21,18
弓削 隼人,2023,楽天,12,0,0,0,0,2,0,9,6
渡辺 翔太,2023,楽天,51,8,3,1,33,2,0.727,48,13
青山 美夏人,2023,西武,39,0,1,3,1,0,0,45,15
今井 達也,2023,西武,19,10,5,0,0,8,0.667,133,34
エンス,2023,西武,12,1,10,0,0,5,0.091,54,31
大曲 錬,2023,西武,10,0,0,0,0,0,0,10,6
クリスキー,2023,西武,14,0,0,7,2,0,0,14,3
公文 克彦,2023,西武,7,1,1,0,1,0,0.5,4,5
佐々木 健,2023,西武,21,0,1,0,4,1,0,20,2
佐藤 隼輔,2023,西武,47,1,2,0,19,0,0.333,39,11
隅田 知一郎,2023,西武,22,9,10,0,0,7,0.474,131,50
平良 海馬,2023,西武,23,11,7,0,0,5,0.611,150,40
髙橋 光成,2023,西武,23,10,8,0,0,7,0.556,155,38
田村 伊知郎,2023,西武,24,2,1,1,8,0,0.667,23,4
張 奕,2023,西武,5,0,0,0,0,0,0,5,5
ティノコ,2023,西武,38,0,3,0,8,3,0,35,11
平井 克典,2023,西武,54,4,3,0,32,1,0.571,53,15
ボー・タカハシ,2023,西武,28,0,1,0,0,7,0,36,12
本田 圭佑,2023,西武,25,0,1,0,2,0,0,34,6
増田 達至,2023,西武,40,4,4,19,10,2,0.5,38,23
松本 航,2023,西武,20,6,8,0,0,5,0.429,116,45
豆田 泰志,2023,西武,16,0,0,1,6,1,0,15,1
水上 由伸,2023,西武,23,0,2,1,5,0,0,17,4
宮川 哲,2023,西武,4,1,2,0,0,2,0.333,16,13
森脇 亮介,2023,西武,31,2,1,3,14,0,0.667,27,6
與座 海人,2023,西武,15,2,6,0,0,5,0.25,83,34
渡邉 勇太朗,2023,西武,2,1,0,0,0,0,1,11,1
東妻 勇輔,2023,ロッテ,36,0,1,0,11,1,0,34,11
岩下 大輝,2023,ロッテ,27,1,0,0,4,1,1,30,10
小島 和哉,2023,ロッテ,25,10,6,0,0,6,0.625,158,61
小沼 健太,2023,ロッテ,4,0,0,0,0,1,0,7,7
小野 郁,2023,ロッテ,10,0,1,0,4,1,0,9,5
カスティーヨ,2023,ロッテ,12,3,3,0,1,2,0.5,49,17
唐川 侑己,2023,ロッテ,6,0,1,0,1,0,0,7,6
菊地 吏玖,2023,ロッテ,1,0,1,0,0,0,0,4,1
国吉 佑樹,2023,ロッテ,3,0,0,0,0,0,0,3,0
坂本 光士郎,2023,ロッテ,51,1,0,0,17,2,1,47,17
佐々木 千隼,2023,ロッテ,2,0,0,0,0,1,0,3,1
佐々木 朗希,2023,ロッテ,15,7,4,0,0,5,0.636,91,18
澤田 圭佑,2023,ロッテ,17,2,0,2,8,0,1,16,2
澤村 拓一,2023,ロッテ,34,4,3,3,18,1,0.571,33,18
鈴木 昭汰,2023,ロッテ,13,0,0,0,0,0,0,16,5
高野 脩汰,2023,ロッテ,7,0,0,0,0,0,0,11,2
種市 篤暉,2023,ロッテ,23,10,7,0,0,7,0.588,136,52
東條 大樹,2023,ロッテ,11,0,0,1,2,0,0,9,8
中村 稔弥,2023,ロッテ,17,3,1,0,3,1,0.75,23,6
中森 俊介,2023,ロッテ,13,3,2,0,3,3,0.6,20,8
西野 勇士,2023,ロッテ,18,8,5,0,0,4,0.615,117,35
西村 天裕,2023,ロッテ,44,4,0,0,18,1,1,43,6
廣畑 敦也,2023,ロッテ,8,1,1,0,1,0,0.5,11,7
ペルドモ,2023,ロッテ,53,1,3,1,42,0,0.25,50,12
益田 直也,2023,ロッテ,58,2,5,36,15,1,0.286,53,22
美馬 学,2023,ロッテ,18,3,9,0,0,3,0.25,98,52
メルセデス,2023,ロッテ,22,4,8,1,0,2,0.333,116,43
本前 郁也,2023,ロッテ,1,0,0,0,0,0,0,5,2
森 遼大朗,2023,ロッテ,7,1,4,0,0,2,0.2,33,22
八木 彬,2023,ロッテ,3,0,0,0,0,0,0,3,6
横山 陸人,2023,ロッテ,38,2,3,1,10,1,0.4,39,23
