選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
アンドリース,2022,巨人,5,0,2,0,0,1,0,18,10
赤星 優志,2022,巨人,31,5,5,0,5,4,0.5,78,35
井納 翔一,2022,巨人,7,1,0,0,2,0,1,5,1
井上 温大,2022,巨人,7,1,1,0,0,0,0.5,24,16
今村 信貴,2022,巨人,55,2,4,0,23,4,0.333,53,21
大江 竜聖,2022,巨人,3,0,0,0,0,1,0,5,1
鍵谷 陽平,2022,巨人,21,2,0,0,5,0,1,17,7
菊地 大稀,2022,巨人,16,0,2,0,0,1,0,17,11
クロール,2022,巨人,21,1,1,1,6,1,0.5,21,9
鍬原 拓也,2022,巨人,49,3,2,0,16,1,0.6,45,26
桜井 俊貴,2022,巨人,8,2,0,0,2,2,1,8,13
シューメーカー,2022,巨人,18,4,8,0,0,5,0.333,95,45
菅野 智之,2022,巨人,23,10,7,0,0,6,0.588,147,51
大勢,2022,巨人,57,1,3,37,9,3,0.25,57,13
高木 京介,2022,巨人,17,0,1,0,2,0,0,19,6
高梨 雄平,2022,巨人,59,2,0,0,27,4,1,46,11
髙橋 優貴,2022,巨人,10,1,5,0,1,0,0.167,26,16
デラロサ,2022,巨人,30,0,0,1,11,2,0,27,7
戸郷 翔征,2022,巨人,25,12,8,0,0,8,0.6,171,50
戸田 懐生,2022,巨人,14,1,0,0,1,1,1,22,16
戸根 千明,2022,巨人,9,0,0,0,0,1,0,14,8
直江 大輔,2022,巨人,9,1,1,0,0,3,0.5,18,7
畠 世周,2022,巨人,27,3,0,1,8,0,1,28,10
ビエイラ,2022,巨人,9,0,2,0,0,1,0,7,8
平内 龍太,2022,巨人,53,4,4,0,17,3,0.5,50,24
堀田 賢慎,2022,巨人,8,2,3,0,0,1,0.4,34,24
メルセデス,2022,巨人,20,5,7,0,0,3,0.417,110,39
山口 俊,2022,巨人,1,0,0,0,0,0,0,2,0
山﨑 伊織,2022,巨人,20,5,5,0,1,9,0.5,97,34
