選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
井納 翔一,2021,巨人,5,0,1,0,0,0,0,5,8
今村 信貴,2021,巨人,17,3,4,0,1,3,0.429,63,19
大江 竜聖,2021,巨人,47,0,0,0,13,2,0,33,15
大竹 寛,2021,巨人,4,0,0,0,1,0,0,2,1
鍵谷 陽平,2021,巨人,59,3,0,1,18,0,1,42,15
サンチェス,2021,巨人,14,5,5,0,0,3,0.5,73,38
桜井 俊貴,2021,巨人,29,1,0,0,7,1,1,33,20
菅野 智之,2021,巨人,19,6,7,0,0,7,0.462,115,41
高木 京介,2021,巨人,15,1,0,0,2,0,1,18,9
高梨 雄平,2021,巨人,55,2,2,1,22,5,0.5,39,16
髙橋 優貴,2021,巨人,27,11,9,0,0,2,0.55,140,53
田中 豊樹,2021,巨人,39,0,0,0,2,1,0,38,12
デラロサ,2021,巨人,46,1,0,7,14,2,1,41,13
戸郷 翔征,2021,巨人,26,9,8,0,0,6,0.529,151,72
戸田 懐生,2021,巨人,3,0,0,0,0,0,0,3,0
戸根 千明,2021,巨人,29,2,0,1,2,3,1,37,20
直江 大輔,2021,巨人,4,0,1,1,0,2,0,11,6
中川 皓太,2021,巨人,58,4,3,1,29,5,0.571,54,15
沼田 翔平,2021,巨人,2,0,0,0,0,0,0,2,2
野上 亮磨,2021,巨人,9,0,1,1,4,0,0,16,3
畠 世周,2021,巨人,52,4,3,1,13,4,0.571,96,33
ビエイラ,2021,巨人,56,0,3,19,1,1,0,55,18
古川 侑利,2021,巨人,1,0,0,0,0,1,0,2,4
平内 龍太,2021,巨人,3,0,1,0,0,0,0,5,8
メルセデス,2021,巨人,17,7,5,0,0,5,0.583,86,36
山口 俊,2021,巨人,15,2,8,0,0,3,0.2,78,31
横川 凱,2021,巨人,2,0,1,0,0,0,0,8,3
アルカンタラ,2021,阪神,24,3,3,0,7,0,0.5,59,23
青柳 晃洋,2021,阪神,25,13,6,0,0,3,0.684,156,43
秋山 拓巳,2021,阪神,24,10,7,0,0,3,0.588,132,40
石井 大智,2021,阪神,18,0,1,0,0,0,0,17,12
伊藤 将司,2021,阪神,23,10,7,0,1,3,0.588,140,38
岩崎 優,2021,阪神,62,3,4,1,44,0,0.429,57,17
岩貞 祐太,2021,阪神,46,4,0,0,16,3,1,38,20
岩田 稔,2021,阪神,3,0,0,0,0,1,0,3,0
エドワーズ,2021,阪神,7,0,0,0,0,0,0,7,2
小川 一平,2021,阪神,19,1,0,0,3,0,1,21,7
小野 泰己,2021,阪神,12,0,0,0,0,1,0,14,13
及川 雅貴,2021,阪神,39,2,3,0,12,2,0.4,39,16
ガンケル,2021,阪神,20,9,3,0,0,3,0.75,113,37
加治屋 蓮,2021,阪神,7,1,2,0,2,1,0.333,5,5
桑原 謙太朗,2021,阪神,7,0,0,0,0,1,0,7,7
小林 慶祐,2021,阪神,22,0,1,0,4,0,0,20,5
齋藤 友貴哉,2021,阪神,19,1,1,0,2,0,0.5,23,12
スアレス,2021,阪神,62,1,1,42,1,0,0.5,62,8
髙橋 遥人,2021,阪神,7,4,2,0,0,0,0.667,49,9
チェン・ウェイン,2021,阪神,2,1,0,0,0,0,1,9,4
西 純矢,2021,阪神,2,1,1,0,0,0,0.5,8,3
西 勇輝,2021,阪神,24,6,9,0,0,4,0.4,143,60
二保 旭,2021,阪神,4,1,1,0,0,1,0.5,15,9
馬場 皐輔,2021,阪神,44,3,0,0,13,0,1,47,20
浜地 真澄,2021,阪神,4,0,0,0,0,0,0,6,3
藤浪 晋太郎,2021,阪神,21,3,3,0,5,4,0.5,48,28
村上 頌樹,2021,阪神,2,0,1,0,0,0,0,5,10
守屋 功輝,2021,阪神,2,0,0,0,0,1,0,3,4
湯浅 京己,2021,阪神,3,0,0,0,0,0,0,3,6
東 克樹,2021,DeNA,3,1,2,0,0,0,0.333,19,5
有吉 優樹,2021,DeNA,1,0,1,0,0,0,0,6,2
池谷 蒼大,2021,DeNA,6,0,0,0,0,1,0,6,0
石田 健大,2021,DeNA,33,1,2,0,3,2,0.333,37,24
伊勢 大夢,2021,DeNA,39,0,1,0,6,1,0,35,11
今永 昇太,2021,DeNA,19,5,5,0,0,4,0.5,120,41
入江 大生,2021,DeNA,4,0,4,0,0,1,0,18,16
エスコバー,2021,DeNA,61,4,4,1,36,4,0.5,58,22
大貫 晋一,2021,DeNA,22,6,7,0,0,3,0.462,112,54
笠井 崇正,2021,DeNA,1,0,0,0,0,1,0,1,6
風張 蓮,2021,DeNA,5,0,0,0,0,0,0,7,6
上茶谷 大河,2021,DeNA,8,1,3,0,0,1,0.25,34,27
京山 将弥,2021,DeNA,16,2,7,0,0,2,0.222,76,42
国吉 佑樹,2021,DeNA,18,1,1,0,1,1,0.5,29,17
阪口 皓亮,2021,DeNA,8,2,3,0,0,1,0.4,35,16
坂本 裕哉,2021,DeNA,16,4,6,0,0,3,0.4,70,41
櫻井 周斗,2021,DeNA,30,0,1,0,1,0,0,41,14
シャッケルフォード,2021,DeNA,32,1,0,1,5,5,1,31,18
進藤 拓也,2021,DeNA,2,0,0,0,0,2,0,1,0
砂田 毅樹,2021,DeNA,58,2,2,0,20,2,0.5,41,15
平良 拳太郎,2021,DeNA,2,0,0,0,0,0,0,10,1
田中 健二朗,2021,DeNA,8,0,0,0,0,1,0,4,0
中川 虎大,2021,DeNA,7,0,1,0,0,0,0,26,19
濵口 遥大,2021,DeNA,17,5,7,0,0,3,0.417,91,40
ピープルズ,2021,DeNA,18,3,4,0,1,2,0.429,47,22
平田 真吾,2021,DeNA,38,2,0,1,5,2,1,41,19
三上 朋也,2021,DeNA,40,2,1,0,5,1,0.667,35,15
三嶋 一輝,2021,DeNA,59,3,5,23,4,0,0.375,57,26
宮國 椋丞,2021,DeNA,3,1,1,0,0,0,0.5,16,11
武藤 祐太,2021,DeNA,1,0,0,0,0,0,0,0,0
山﨑 康晃,2021,DeNA,60,3,2,1,30,3,0.6,55,20
ロメロ,2021,DeNA,14,5,3,0,0,5,0.625,80,27
遠藤 淳志,2021,広島,2,0,0,0,0,1,0,6,5
大瀬良 大地,2021,広島,23,10,5,0,0,5,0.667,146,50
大道 温貴,2021,広島,24,4,4,0,5,2,0.5,53,28
菊池 保則,2021,広島,33,2,1,0,5,3,0.667,31,6
九里 亜蓮,2021,広島,25,13,9,0,0,8,0.591,149,63
栗林 良吏,2021,広島,53,0,1,37,0,1,0,52,5
ケムナ 誠,2021,広島,40,2,2,0,14,2,0.5,39,20
コルニエル,2021,広島,50,1,2,0,11,3,0.333,61,26
小林 樹斗,2021,広島,1,0,0,0,0,0,0,3,4
島内 颯太郎,2021,広島,51,0,2,0,15,0,0,49,17
高橋 昂也,2021,広島,15,5,7,0,0,2,0.417,73,43
高橋 樹也,2021,広島,27,0,0,0,0,1,0,26,4
玉村 昇悟,2021,広島,17,4,7,0,0,1,0.364,101,43
床田 寛樹,2021,広島,16,5,4,0,1,2,0.556,87,31
中﨑 翔太,2021,広島,4,0,0,0,0,0,0,4,6
中田 廉,2021,広島,23,0,0,0,6,1,0,19,10
中村 祐太,2021,広島,3,0,3,0,0,0,0,13,16
ネバラスカス,2021,広島,1,0,1,0,0,0,0,2,3
野村 祐輔,2021,広島,8,0,4,0,0,2,0,35,25
バード,2021,広島,33,0,0,0,11,2,0,21,11
