選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
フランスア,2021,広島,8,1,2,0,2,0,0.333,5,6
藤井 黎來,2021,広島,5,0,0,0,0,1,0,5,8
塹江 敦哉,2021,広島,51,5,4,0,22,1,0.556,42,20
森浦 大輔,2021,広島,54,3,3,0,20,4,0.5,48,17
森下 暢仁,2021,広島,24,8,7,0,0,3,0.533,163,54
矢崎 拓也,2021,広島,4,0,0,0,0,0,0,7,9
薮田 和樹,2021,広島,1,0,0,0,0,0,0,4,2
石川 雅規,2021,ヤクルト,17,4,5,0,0,3,0.444,82,28
石山 泰稚,2021,ヤクルト,58,0,5,10,9,0,0,55,22
梅野 雄吾,2021,ヤクルト,29,0,0,0,8,2,0,25,7
大下 佑馬,2021,ヤクルト,30,1,0,0,2,2,1,38,16
大西 広樹,2021,ヤクルト,33,3,0,0,10,2,1,38,12
小川 泰弘,2021,ヤクルト,23,9,6,0,0,1,0.6,128,59
奥川 恭伸,2021,ヤクルト,18,9,4,0,0,2,0.692,105,38
金久保 優斗,2021,ヤクルト,10,4,1,0,1,2,0.8,42,13
近藤 弘樹,2021,ヤクルト,22,0,1,0,11,0,0,18,2
今野 龍太,2021,ヤクルト,64,7,1,0,35,3,0.875,62,19
サイスニード,2021,ヤクルト,13,6,2,0,0,2,0.75,68,26
坂本 光士郎,2021,ヤクルト,36,1,2,0,8,3,0.333,33,15
清水 昇,2021,ヤクルト,72,3,6,1,53,2,0.333,67,18
スアレス,2021,ヤクルト,24,5,3,1,4,5,0.625,77,31
杉山 晃基,2021,ヤクルト,4,0,0,0,0,1,0,6,7
高梨 裕稔,2021,ヤクルト,12,4,1,0,0,3,0.8,62,25
高橋 奎二,2021,ヤクルト,14,4,1,0,1,6,0.8,78,25
田口 麗斗,2021,ヤクルト,33,5,9,0,5,2,0.357,100,45
寺島 成輝,2021,ヤクルト,1,0,0,0,0,0,0,2,1
バンデンハーク,2021,ヤクルト,2,0,1,0,0,1,0,4,8
長谷川 宙輝,2021,ヤクルト,4,1,0,0,1,0,1,3,4
原 樹理,2021,ヤクルト,9,3,1,0,0,4,0.75,47,12
星 知弥,2021,ヤクルト,25,0,0,1,7,0,0,24,13
マクガフ,2021,ヤクルト,66,3,2,31,17,3,0.6,64,18
山野 太一,2021,ヤクルト,1,0,0,0,0,1,0,1,7
吉田 大喜,2021,ヤクルト,16,1,1,0,1,0,0.5,23,16
梅津 晃大,2021,中日,3,0,1,0,0,2,0,11,2
大野 雄大,2021,中日,22,7,11,0,0,2,0.389,143,47
小笠原 慎之介,2021,中日,25,8,10,0,0,4,0.444,143,58
岡田 俊哉,2021,中日,19,0,1,0,0,0,0,16,9
岡野 祐一郎,2021,中日,2,0,2,0,0,1,0,8,8
笠原 祥太郎,2021,中日,4,0,2,0,0,0,0,20,14
勝野 昌慶,2021,中日,17,3,6,0,0,2,0.333,91,38
近藤 廉,2021,中日,2,0,0,0,0,0,0,2,1
佐藤 優,2021,中日,4,0,0,0,0,0,0,5,8
清水 達也,2021,中日,1,0,1,0,0,0,0,4,1
鈴木 博志,2021,中日,18,2,0,0,2,2,1,20,12
祖父江 大輔,2021,中日,55,1,2,5,20,1,0.333,48,14
田島 慎二,2021,中日,22,2,1,0,10,0,0.667,18,5
谷元 圭介,2021,中日,32,1,1,0,15,1,0.5,22,5
橋本 侑樹,2021,中日,28,0,0,0,1,1,0,26,11
福 敬登,2021,中日,57,2,2,0,22,3,0.5,45,16
福谷 浩司,2021,中日,18,5,10,0,0,1,0.333,103,52
藤嶋 健人,2021,中日,48,1,0,0,6,0,1,51,9
Ｒ．マルティネス,2021,中日,49,1,4,23,1,1,0.2,48,11
又吉 克樹,2021,中日,66,3,2,8,36,1,0.6,63,9
松葉 貴大,2021,中日,14,6,5,0,0,2,0.545,76,27
三ツ間 卓也,2021,中日,5,0,0,0,0,0,0,5,4
森 博人,2021,中日,10,0,0,0,0,3,0,12,4
柳 裕也,2021,中日,26,11,6,0,0,3,0.647,172,42
山井 大介,2021,中日,1,0,0,0,0,0,0,0,0
山本 拓実,2021,中日,9,1,0,0,1,1,1,14,10
ロサリオ,2021,中日,9,0,0,0,0,2,0,9,3
ロドリゲス,2021,中日,12,1,4,0,0,5,0.2,61,25
石川 柊太,2021,ソフトバンク,28,6,9,0,0,17,0.4,156,59
泉 圭輔,2021,ソフトバンク,31,1,2,0,7,3,0.333,26,8
岩嵜 翔,2021,ソフトバンク,48,2,5,6,16,0,0.286,45,21
大関 友久,2021,ソフトバンク,12,0,0,0,0,2,0,23,6
大竹 耕太郎,2021,ソフトバンク,2,0,1,0,1,0,0,4,7
尾形 崇斗,2021,ソフトバンク,8,0,0,0,0,0,0,10,1
甲斐野 央,2021,ソフトバンク,22,0,2,1,4,2,0,20,10
笠谷 俊介,2021,ソフトバンク,16,3,4,0,1,2,0.429,59,28
嘉弥真 新也,2021,ソフトバンク,58,1,0,0,20,1,1,28,15
川原 弘之,2021,ソフトバンク,3,0,0,0,0,1,0,2,2
スチュワート・ジュニア,2021,ソフトバンク,11,0,2,0,1,1,0,23,16
杉山 一樹,2021,ソフトバンク,15,2,2,0,3,2,0.5,25,9
千賀 滉大,2021,ソフトバンク,13,10,3,0,0,2,0.769,84,25
田浦 文丸,2021,ソフトバンク,19,1,0,0,2,0,1,21,8
髙橋 純平,2021,ソフトバンク,10,1,1,0,3,1,0.5,11,0
高橋 礼,2021,ソフトバンク,11,1,1,0,0,6,0.5,34,22
武田 翔太,2021,ソフトバンク,12,4,5,0,0,2,0.444,77,23
田中 正義,2021,ソフトバンク,18,0,0,0,1,0,0,16,4
津森 宥紀,2021,ソフトバンク,45,1,0,0,12,2,1,33,8
二保 旭,2021,ソフトバンク,2,0,1,0,0,1,0,11,6
板東 湧梧,2021,ソフトバンク,44,0,2,1,16,2,0,39,11
東浜 巨,2021,ソフトバンク,14,4,4,0,0,3,0.5,75,31
古谷 優人,2021,ソフトバンク,13,1,1,0,3,1,0.5,13,3
マルティネス,2021,ソフトバンク,21,9,4,0,0,5,0.692,140,25
松本 裕樹,2021,ソフトバンク,33,3,3,0,7,2,0.5,73,31
モイネロ,2021,ソフトバンク,33,1,0,5,15,1,1,31,4
森 唯斗,2021,ソフトバンク,30,1,3,15,1,0,0.25,29,13
レイ,2021,ソフトバンク,6,3,1,0,0,3,0.75,40,9
和田 毅,2021,ソフトバンク,18,5,6,0,0,3,0.455,94,47
渡邉 雄大,2021,ソフトバンク,6,0,0,0,1,0,0,4,2
アーリン,2021,日本ハム,11,2,3,0,0,2,0.4,38,14
秋吉 亮,2021,日本ハム,10,0,0,0,0,0,0,10,3
井口 和朋,2021,日本ハム,43,1,2,0,12,2,0.333,38,8
池田 隆英,2021,日本ハム,18,3,10,0,1,5,0.231,82,36
伊藤 大海,2021,日本ハム,23,10,9,0,0,6,0.526,146,47
上原 健太,2021,日本ハム,11,0,0,0,0,0,0,11,5
上沢 直之,2021,日本ハム,24,12,6,0,0,4,0.667,160,50
加藤 貴之,2021,日本ハム,25,6,7,0,0,3,0.462,150,57
金子 弌大,2021,日本ハム,8,0,4,0,0,3,0,33,23
河野 竜生,2021,日本ハム,40,3,6,0,11,4,0.333,90,30
北浦 竜次,2021,日本ハム,3,0,0,0,0,0,0,5,2
公文 克彦,2021,日本ハム,10,0,0,0,0,1,0,7,3
斎藤 佑樹,2021,日本ハム,1,0,0,0,0,0,0,+,0
杉浦 稔大,2021,日本ハム,56,3,3,28,4,1,0.5,54,18
鈴木 健矢,2021,日本ハム,21,0,0,0,0,3,0,19,9
立野 和明,2021,日本ハム,11,4,3,0,0,3,0.571,55,15
谷川 昌希,2021,日本ハム,9,1,0,0,1,0,1,10,6
玉井 大翔,2021,日本ハム,50,0,0,0,8,4,0,42,15
生田目 翼,2021,日本ハム,1,1,0,0,0,1,1,6,1
西村 天裕,2021,日本ハム,27,0,0,0,1,3,0,31,12
バーヘイゲン,2021,日本ハム,20,5,8,0,1,6,0.385,96,41
長谷川 凌汰,2021,日本ハム,5,0,0,0,2,0,0,3,3
福田 俊,2021,日本ハム,5,0,0,0,0,0,0,4,6
堀 瑞輝,2021,日本ハム,60,3,2,0,42,4,0.6,53,14
宮西 尚生,2021,日本ハム,50,1,2,0,16,4,0.333,44,18
村田 透,2021,日本ハム,8,0,0,0,0,0,0,9,10
望月 大希,2021,日本ハム,2,0,0,0,0,0,0,4,1
吉田 輝星,2021,日本ハム,1,0,1,0,0,0,0,2,2
Ｂ．ロドリゲス,2021,日本ハム,47,0,2,3,24,3,0,46,14
阿部 翔太,2021,オリックス,4,0,0,0,0,0,0,3,3
漆原 大晟,2021,オリックス,34,2,2,2,6,1,0.5,35,12
海田 智行,2021,オリックス,16,0,1,0,5,0,0,10,3
金田 和之,2021,オリックス,9,0,0,0,0,2,0,10,5
Ｋ－鈴木,2021,オリックス,34,1,0,2,3,1,1,38,13
齋藤 綱記,2021,オリックス,4,0,0,0,0,0,0,2,3
榊原 翼,2021,オリックス,1,0,0,0,0,0,0,2,4
澤田 圭佑,2021,オリックス,14,0,0,0,6,1,0,14,6
スパークマン,2021,オリックス,6,0,1,0,0,1,0,17,13
鈴木 優,2021,オリックス,11,0,0,0,0,2,0,10,10
竹安 大知,2021,オリックス,17,3,2,0,2,1,0.6,48,24
田嶋 大樹,2021,オリックス,24,8,8,0,0,5,0.5,143,57
張 奕,2021,オリックス,8,0,1,0,3,0,0,10,15
富山 凌雅,2021,オリックス,51,2,1,0,22,0,0.667,46,14
中川 颯,2021,オリックス,1,0,0,0,0,0,0,1,0
能見 篤史,2021,オリックス,26,0,0,2,5,3,0,22,10
バルガス,2021,オリックス,5,1,1,0,2,1,0.5,9,11
ヒギンス,2021,オリックス,49,1,2,2,29,1,0.333,46,13
比嘉 幹貴,2021,オリックス,32,1,0,0,12,0,1,20,4
平野 佳寿,2021,オリックス,46,1,3,29,4,0,0.25,43,11
本田 仁海,2021,オリックス,2,0,1,0,0,0,0,9,8
増井 浩俊,2021,オリックス,15,3,6,0,1,2,0.333,71,39
宮城 大弥,2021,オリックス,23,13,4,0,0,9,0.765,147,41
村西 良太,2021,オリックス,18,1,0,1,6,2,1,12,5
山岡 泰輔,2021,オリックス,12,3,4,0,0,3,0.429,69,30
山﨑 福也,2021,オリックス,22,8,10,0,1,6,0.444,116,46
山﨑 颯一郎,2021,オリックス,9,2,2,0,0,5,0.5,39,16
山田 修義,2021,オリックス,43,1,0,0,10,1,1,43,11
山本 由伸,2021,オリックス,26,18,5,0,0,2,0.783,193,30
吉田 凌,2021,オリックス,18,1,1,0,5,0,0.5,17,4
安樂 智大,2021,楽天,58,3,3,2,25,2,0.5,56,13
石橋 良太,2021,楽天,3,0,1,0,0,1,0,13,5
内間 拓馬,2021,楽天,11,0,0,0,0,1,0,10,7
釜田 佳直,2021,楽天,1,0,0,0,0,0,0,4,5
岸 孝之,2021,楽天,25,9,10,0,0,1,0.474,149,57
酒居 知史,2021,楽天,54,4,3,3,32,0,0.571,51,13
塩見 貴洋,2021,楽天,1,0,0,0,0,0,0,5,2
菅原 秀,2021,楽天,1,0,0,0,0,1,0,2,5
鈴木 翔天,2021,楽天,5,0,0,0,0,0,0,4,0
宋 家豪,2021,楽天,63,3,3,7,27,2,0.5,60,15
高田 孝一,2021,楽天,3,0,0,0,0,1,0,6,1
髙田 萌生,2021,楽天,4,0,1,0,0,0,0,7,8
瀧中 瞭太,2021,楽天,20,10,5,0,0,4,0.667,103,37
田中 将大,2021,楽天,23,4,9,0,0,5,0.308,155,52
津留﨑 大成,2021,楽天,11,0,0,0,1,0,0,10,6
西口 直人,2021,楽天,33,5,2,0,8,2,0.714,57,21
則本 昂大,2021,楽天,23,11,5,0,0,3,0.688,144,51
早川 隆久,2021,楽天,24,9,7,0,0,2,0.563,137,59
ブセニッツ,2021,楽天,31,1,0,0,5,0,1,29,16
福井 優也,2021,楽天,19,0,0,0,0,0,0,20,10
福山 博之,2021,楽天,24,0,2,0,4,0,0,22,6
牧田 和久,2021,楽天,17,0,0,0,2,1,0,16,6
松井 裕樹,2021,楽天,43,0,2,24,0,1,0,43,3
森原 康平,2021,楽天,34,0,0,0,3,0,0,32,10
弓削 隼人,2021,楽天,5,1,1,0,0,1,0.5,13,11
涌井 秀章,2021,楽天,21,6,8,0,0,2,0.429,96,54
渡邊 佑樹,2021,楽天,9,0,0,0,2,2,0,5,3
伊藤 翔,2021,西武,13,0,1,0,2,2,0,18,8
井上 広輝,2021,西武,4,0,0,0,0,0,0,4,5
今井 達也,2021,西武,25,8,8,0,0,11,0.5,158,58
上間 永遠,2021,西武,5,1,1,0,0,0,0.5,21,15
内海 哲也,2021,西武,2,1,0,0,0,0,1,7,6
大曲 錬,2021,西武,4,0,0,0,1,0,0,4,0
小川 龍也,2021,西武,5,0,0,0,0,0,0,2,2
ギャレット,2021,西武,61,4,3,2,21,0,0.571,57,24
公文 克彦,2021,西武,14,0,0,0,3,0,0,11,1
佐々木 健,2021,西武,5,0,0,0,0,1,0,8,8
佐野 泰雄,2021,西武,23,0,0,0,2,2,0,18,10
ダーモディ,2021,西武,11,0,2,0,0,0,0,33,19
平良 海馬,2021,西武,62,3,4,20,24,5,0.429,60,6
髙橋 光成,2021,西武,27,11,9,0,0,6,0.55,173,73
武隈 祥太,2021,西武,46,0,2,0,9,0,0,30,6
田村 伊知郎,2021,西武,22,1,0,1,1,4,1,31,10
十亀 剣,2021,西武,40,1,1,0,9,2,0.5,40,15
ニール,2021,西武,11,1,6,0,0,3,0.143,60,39
浜屋 将太,2021,西武,8,1,6,0,0,4,0.143,36,27
平井 克典,2021,西武,25,4,4,0,3,6,0.5,74,35
本田 圭佑,2021,西武,6,0,3,0,0,0,0,25,12
増田 達至,2021,西武,33,0,3,8,9,1,0,30,17
松岡 洸希,2021,西武,5,0,0,0,0,1,0,4,5
松坂 大輔,2021,西武,1,0,0,0,0,0,0,+,0
松本 航,2021,西武,28,10,8,0,0,4,0.556,149,63
水上 由伸,2021,西武,29,0,1,0,4,1,0,27,7
宮川 哲,2021,西武,29,1,2,0,7,3,0.333,24,18
森脇 亮介,2021,西武,45,3,1,1,16,2,0.75,40,18
與座 海人,2021,西武,15,1,1,0,1,4,0.5,38,12
吉川 光夫,2021,西武,5,0,0,0,0,0,0,4,8
渡邉 勇太朗,2021,西武,17,4,4,0,2,3,0.5,55,21
東妻 勇輔,2021,ロッテ,37,1,0,0,5,2,1,34,11
石川 歩,2021,ロッテ,12,6,3,0,0,0,0.667,80,30
岩下 大輝,2021,ロッテ,23,8,8,0,1,2,0.5,120,59
大嶺 祐太,2021,ロッテ,8,1,1,0,1,0,0.5,11,5
小島 和哉,2021,ロッテ,24,10,4,0,0,6,0.714,146,61
小野 郁,2021,ロッテ,49,0,3,0,8,2,0,51,20
唐川 侑己,2021,ロッテ,38,4,2,0,26,1,0.667,36,11
河村 説人,2021,ロッテ,20,4,1,0,0,0,0.8,41,16
国吉 佑樹,2021,ロッテ,25,2,0,2,19,0,1,25,4
佐々木 千隼,2021,ロッテ,54,8,1,1,34,2,0.889,57,8
佐々木 朗希,2021,ロッテ,11,3,2,0,0,0,0.6,63,16
鈴木 昭汰,2021,ロッテ,23,1,4,0,1,2,0.2,79,36
田中 靖洋,2021,ロッテ,38,1,2,0,11,2,0.333,33,17
土居 豪人,2021,ロッテ,14,0,0,0,0,1,0,14,12
東條 大樹,2021,ロッテ,5,0,0,0,1,0,0,3,2
土肥 星也,2021,ロッテ,1,0,1,0,0,0,0,2,3
中村 稔弥,2021,ロッテ,14,0,2,0,0,1,0,38,13
成田 翔,2021,ロッテ,3,0,0,0,0,0,0,3,0
ハーマン,2021,ロッテ,45,1,1,0,25,1,0.5,43,25
フローレス,2021,ロッテ,10,1,0,0,1,0,1,13,2
二木 康太,2021,ロッテ,22,5,7,0,0,4,0.417,117,57
益田 直也,2021,ロッテ,67,3,6,38,3,0,0.333,64,16
南 昌輝,2021,ロッテ,1,0,0,0,1,0,0,0,0
美馬 学,2021,ロッテ,21,6,7,0,0,4,0.462,115,63
本前 郁也,2021,ロッテ,8,1,2,0,0,2,0.333,37,20
横山 陸人,2021,ロッテ,10,0,0,0,0,2,0,9,5
ロメロ,2021,ロッテ,4,1,0,0,0,0,1,23,4
美馬 学,2021,ロッテ,21,6,7,0,0,4,0.462,115,63
横山 陸人,2021,ロッテ,10,0,0,0,0,2,0,9,5
