選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
今村 信貴,2020,巨人,12,5,2,0,0,2,0.714,62,22
大江 竜聖,2020,巨人,43,3,0,0,12,5,1,37,13
大竹 寛,2020,巨人,29,1,2,0,17,1,0.333,24,7
鍵谷 陽平,2020,巨人,46,3,1,0,16,1,0.75,37,12
鍬原 拓也,2020,巨人,5,1,0,0,1,1,1,7,5
サンチェス,2020,巨人,15,8,4,0,0,0,0.667,87,30
桜井 俊貴,2020,巨人,24,2,4,0,4,5,0.333,63,35
澤村 拓一,2020,巨人,13,1,1,0,2,2,0.5,13,9
菅野 智之,2020,巨人,20,14,2,0,0,7,0.875,137,30
高木 京介,2020,巨人,17,0,1,1,4,0,0,12,5
高梨 雄平,2020,巨人,44,1,1,2,22,6,0.5,37,8
髙橋 優貴,2020,巨人,8,1,3,0,2,0,0.25,23,11
田口 麗斗,2020,巨人,26,5,7,1,2,5,0.417,89,46
田中 豊樹,2020,巨人,31,1,1,0,2,3,0.5,27,15
ディプラン,2020,巨人,2,0,0,0,0,1,0,2,5
デラロサ,2020,巨人,35,2,0,17,7,3,1,31,9
戸郷 翔征,2020,巨人,19,9,6,0,1,6,0.6,107,33
直江 大輔,2020,巨人,3,0,0,0,0,1,0,12,4
中川 皓太,2020,巨人,37,2,1,6,17,1,0.667,36,4
沼田 翔平,2020,巨人,5,0,0,0,0,0,0,4,5
畠 世周,2020,巨人,12,4,4,0,0,4,0.5,65,21
ビエイラ,2020,巨人,27,0,1,0,2,2,0,24,9
藤岡 貴裕,2020,巨人,12,0,0,0,0,1,0,8,3
古川 侑利,2020,巨人,5,0,0,0,0,0,0,4,6
堀岡 隼人,2020,巨人,12,0,0,0,1,0,0,12,11
増田 大輝,2020,巨人,1,0,0,0,0,0,0,0,0
宮國 椋丞,2020,巨人,21,0,0,0,0,0,0,25,15
メルセデス,2020,巨人,11,4,4,0,0,2,0.5,58,20
横川 凱,2020,巨人,2,0,0,0,0,0,0,5,1
青柳 晃洋,2020,阪神,21,7,9,0,0,5,0.438,120,45
秋山 拓巳,2020,阪神,18,11,3,0,0,0,0.786,112,36
石井 将希,2020,阪神,1,0,0,0,0,0,0,1,1
伊藤 和雄,2020,阪神,15,1,1,0,2,0,0.5,15,6
岩崎 優,2020,阪神,41,5,2,2,22,2,0.714,39,8
岩貞 祐太,2020,阪神,38,7,3,0,13,0,0.7,71,26
岩田 稔,2020,阪神,5,1,2,0,0,2,0.333,22,16
エドワーズ,2020,阪神,23,0,1,0,12,2,0,22,6
小川 一平,2020,阪神,21,0,0,0,0,0,0,21,11
尾仲 祐哉,2020,阪神,4,0,0,0,0,0,0,4,3
ガルシア,2020,阪神,14,2,6,0,0,1,0.25,75,37
ガンケル,2020,阪神,28,2,4,0,13,3,0.333,56,20
桑原 謙太朗,2020,阪神,12,0,0,0,2,0,0,10,4
小林 慶祐,2020,阪神,2,0,0,0,0,0,0,3,0
齋藤 友貴哉,2020,阪神,5,0,0,0,0,0,0,7,6
スアレス,2020,阪神,51,3,1,25,11,0,0.75,52,13
髙橋 遥人,2020,阪神,12,5,4,0,0,1,0.556,76,21
谷川 昌希,2020,阪神,14,0,0,0,0,2,0,14,8
中田 賢一,2020,阪神,3,0,2,0,0,0,0,10,9
西 勇輝,2020,阪神,21,11,5,0,0,4,0.688,147,37
能見 篤史,2020,阪神,34,1,0,1,5,1,1,24,13
馬場 皐輔,2020,阪神,32,2,1,0,11,1,0.667,30,7
浜地 真澄,2020,阪神,1,0,0,0,0,0,0,1,0
福永 春吾,2020,阪神,1,0,0,0,0,0,0,1,2
藤川 球児,2020,阪神,16,1,3,2,2,1,0.25,13,9
藤浪 晋太郎,2020,阪神,24,1,6,0,7,2,0.143,76,34
望月 惇志,2020,阪神,16,0,0,0,0,0,0,19,11
