選手,年度,球団,試合,打率,安打,本塁打,打点,盗塁,出塁率,長打率,OPS,打席数
秋広 優人,2021,巨人,1,0,0,0,0,0,0,0,0,1
石川 慎吾,2021,巨人,26,0.189,7,0,0,0,0.268,0.243,0.511,41
井納 翔一,2021,巨人,5,0,0,0,0,0,0,0,0,1
今村 信貴,2021,巨人,17,0.067,1,0,0,0,0.067,0.067,0.134,16
ウィーラー,2021,巨人,121,0.289,111,15,56,3,0.358,0.479,0.837,427
ウレーニャ,2021,巨人,4,0,0,0,0,0,0,0,0,5
大江 竜聖,2021,巨人,47,0,0,0,0,0,0,0,0,1
大城 卓三,2021,巨人,125,0.231,80,11,37,0,0.3,0.36,0.66,386
大竹 寛,2021,巨人,4,0,0,0,0,0,0,0,0,0
岡本 和真,2021,巨人,143,0.265,138,39,113,1,0.341,0.53,0.871,592
鍵谷 陽平,2021,巨人,59,0,0,0,0,0,0,0,0,1
梶谷 隆幸,2021,巨人,61,0.282,64,4,23,11,0.333,0.388,0.721,246
香月 一也,2021,巨人,39,0.203,12,3,6,0,0.277,0.407,0.684,67
亀井 善行,2021,巨人,92,0.215,40,3,17,1,0.27,0.339,0.609,206
岸田 行倫,2021,巨人,27,0.182,4,0,2,0,0.25,0.273,0.523,24
北村 拓己,2021,巨人,53,0.25,23,4,11,1,0.317,0.413,0.73,103
小林 誠司,2021,巨人,64,0.093,7,1,3,1,0.117,0.16,0.277,79
サンチェス,2021,巨人,14,0,0,0,0,0,0,0,0,21
坂本 勇人,2021,巨人,117,0.271,115,19,46,2,0.359,0.467,0.826,487
桜井 俊貴,2021,巨人,29,0,0,0,0,0,0,0,0,0
重信 慎之介,2021,巨人,73,0.218,17,2,6,6,0.282,0.321,0.603,86
スモーク,2021,巨人,34,0.272,31,7,14,0,0.336,0.482,0.818,125
菅野 智之,2021,巨人,19,0.125,4,0,0,0,0.152,0.125,0.277,39
炭谷 銀仁朗,2021,巨人,44,0.188,9,1,7,0,0.245,0.25,0.495,54
高木 京介,2021,巨人,15,0,0,0,0,0,0,0,0,1
高梨 雄平,2021,巨人,55,0,0,0,0,0,0,0,0,0
髙橋 優貴,2021,巨人,27,0.043,2,0,2,0,0.064,0.065,0.129,49
立岡 宗一郎,2021,巨人,47,0.205,9,0,1,0,0.255,0.205,0.46,47
田中 豊樹,2021,巨人,39,0,0,0,0,0,0,0,0,1
テームズ,2021,巨人,1,0,0,0,0,0,0,0,0,2
デラロサ,2021,巨人,46,0,0,0,0,0,0,0,0,0
戸郷 翔征,2021,巨人,26,0.116,5,0,1,0,0.156,0.116,0.272,53
戸田 懐生,2021,巨人,3,0,0,0,0,0,0,0,0,0
戸根 千明,2021,巨人,29,1,1,0,1,0,1,1,2,1
直江 大輔,2021,巨人,4,0,0,0,0,0,0,0,0,2
中川 皓太,2021,巨人,58,0,0,0,0,0,0,0,0,0
中島 宏之,2021,巨人,81,0.271,49,6,26,0,0.314,0.425,0.739,195
中田 翔,2021,巨人,34,0.154,14,3,7,0,0.274,0.297,0.571,106
沼田 翔平,2021,巨人,2,0,0,0,0,0,0,0,0,0
野上 亮磨,2021,巨人,9,0,0,0,0,0,0,0,0,2
ハイネマン,2021,巨人,10,0.16,4,0,2,0,0.25,0.2,0.45,28
畠 世周,2021,巨人,52,0,0,0,0,0,0,0,0,14
ビエイラ,2021,巨人,56,0,0,0,0,0,0,0,0,0
平間 隼人,2021,巨人,1,0,0,0,0,0,0,0,0,0
廣岡 大志,2021,巨人,78,0.189,20,5,15,2,0.256,0.387,0.643,117
古川 侑利,2021,巨人,1,0,0,0,0,0,0,0,0,0
平内 龍太,2021,巨人,3,0,0,0,0,0,0,0,0,1
増田 大輝,2021,巨人,56,0.136,3,1,2,8,0.208,0.318,0.526,25
松原 聖弥,2021,巨人,135,0.274,118,12,37,15,0.333,0.422,0.755,477
丸 佳浩,2021,巨人,118,0.265,104,23,55,5,0.365,0.495,0.86,457
メルセデス,2021,巨人,17,0.08,2,0,0,0,0.08,0.08,0.16,28
八百板 卓丸,2021,巨人,16,0.167,2,0,1,0,0.167,0.167,0.334,12
山口 俊,2021,巨人,15,0,0,0,0,0,0.043,0,0.043,23
湯浅 大,2021,巨人,33,0.385,5,0,0,1,0.385,0.462,0.847,13
陽 岱鋼,2021,巨人,7,0.143,1,0,0,0,0.143,0.143,0.286,7
横川 凱,2021,巨人,2,1,1,0,0,0,1,1,2,1
吉川 尚輝,2021,巨人,108,0.272,83,5,25,7,0.313,0.37,0.683,329
若林 晃弘,2021,巨人,96,0.239,51,5,16,1,0.314,0.362,0.676,242
アルカンタラ,2021,阪神,24,0.111,1,0,1,0,0.111,0.111,0.222,12
青柳 晃洋,2021,阪神,25,0.163,7,0,2,0,0.182,0.186,0.368,51
秋山 拓巳,2021,阪神,24,0.065,2,0,0,0,0.094,0.065,0.159,41
石井 大智,2021,阪神,18,0,0,0,0,0,0,0,0,0
板山 祐太郎,2021,阪神,43,0.143,2,0,1,0,0.25,0.357,0.607,17
糸井 嘉男,2021,阪神,77,0.208,22,3,18,1,0.269,0.34,0.609,119
伊藤 将司,2021,阪神,23,0.051,2,0,0,0,0.119,0.051,0.17,44
