選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
赤星 優志,2024,巨人,21,1,7,0,1,2,0.125,75,26
泉 圭輔,2024,巨人,35,2,0,1,7,4,1,37,8
伊藤 優輔,2024,巨人,8,0,0,0,1,1,0,8,1
井上 温大,2024,巨人,25,8,5,0,3,3,0.615,101,31
今村 信貴,2024,巨人,7,0,0,0,0,1,0,8,2
大江 竜聖,2024,巨人,16,0,0,0,5,0,0,13,4
京本 眞,2024,巨人,4,0,0,0,0,1,0,5,2
グリフィン,2024,巨人,20,6,4,0,0,4,0.6,116,39
ケラー,2024,巨人,52,2,2,1,22,0,0.5,47,8
菅野 智之,2024,巨人,24,15,3,0,0,4,0.833,156,29
大勢,2024,巨人,43,1,2,29,6,0,0.333,41,4
高梨 雄平,2024,巨人,51,4,3,0,29,0,0.571,35,8
高橋 礼,2024,巨人,11,2,2,0,0,1,0.5,46,19
田中 千晴,2024,巨人,3,0,0,0,0,0,0,4,0
戸郷 翔征,2024,巨人,26,12,8,0,0,7,0.6,180,39
中川 皓太,2024,巨人,15,0,2,0,7,0,0,12,12
西舘 勇陽,2024,巨人,28,1,3,1,21,0,0.25,30,13
バルドナード,2024,巨人,58,2,3,9,28,0,0.4,51,14
畠 世周,2024,巨人,1,0,0,0,0,0,0,3,1
馬場 皐輔,2024,巨人,1,0,0,0,0,0,0,0,0
船迫 大雅,2024,巨人,51,4,0,0,26,3,1,38,10
平内 龍太,2024,巨人,31,1,2,0,3,1,0.333,33,8
堀田 賢慎,2024,巨人,17,3,3,0,1,2,0.5,51,14
又木 鉄平,2024,巨人,3,0,1,0,0,0,0,10,7
松井 颯,2024,巨人,2,0,0,0,0,0,0,1,2
メンデス,2024,巨人,2,0,2,0,0,0,0,4,6
山﨑 伊織,2024,巨人,24,10,6,0,0,10,0.625,147,46
横川 凱,2024,巨人,12,3,1,0,2,0,0.75,28,3
青柳 晃洋,2024,阪神,12,2,3,0,0,6,0.4,61,25
石井 大智,2024,阪神,56,4,1,1,34,0,0.8,48,8
石黒 佑弥,2024,阪神,3,0,0,0,0,0,0,3,2
伊藤 将司,2024,阪神,18,4,5,0,0,2,0.444,74,38
