選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
岩崎 優,2024,阪神,60,4,4,23,21,0,0.5,57,14
岩貞 祐太,2024,阪神,2,0,1,0,0,1,0,1,1
漆原 大晟,2024,阪神,38,1,4,0,6,0,0.2,34,15
大竹 耕太郎,2024,阪神,24,11,7,0,0,1,0.611,144,45
岡留 英貴,2024,阪神,35,1,0,1,7,2,1,38,12
及川 雅貴,2024,阪神,9,1,3,0,0,0,0.25,29,9
加治屋 蓮,2024,阪神,13,2,0,0,3,1,1,12,6
川原 陸,2024,阪神,1,0,0,0,0,0,0,1,0
桐敷 拓馬,2024,阪神,70,3,1,0,43,4,0.75,65,13
ゲラ,2024,阪神,59,1,4,14,32,0,0.2,58,10
才木 浩人,2024,阪神,25,13,3,0,0,0,0.813,167,34
佐藤 蓮,2024,阪神,1,0,0,0,0,0,0,1,0
島本 浩也,2024,阪神,33,2,1,0,8,1,0.667,25,8
髙橋 遥人,2024,阪神,5,4,1,0,0,1,0.8,29,5
富田 蓮,2024,阪神,33,0,1,0,4,2,0,35,3
西 純矢,2024,阪神,4,0,1,0,0,0,0,6,2
西 勇輝,2024,阪神,21,6,7,0,0,5,0.462,124,31
浜地 真澄,2024,阪神,18,0,0,0,0,0,0,21,5
ビーズリー,2024,阪神,14,8,3,0,0,5,0.727,76,21
村上 頌樹,2024,阪神,25,7,11,0,0,2,0.389,153,44
門別 啓人,2024,阪神,5,0,2,0,0,0,0,12,6
東 克樹,2024,DeNA,26,13,4,0,0,6,0.765,183,44
石川 達也,2024,DeNA,15,0,0,0,2,1,0,14,3
石田 健大,2024,DeNA,6,2,3,0,0,0,0.4,32,12
石田 裕太郎,2024,DeNA,12,4,3,0,0,0,0.571,59,26
伊勢 大夢,2024,DeNA,37,2,3,0,20,2,0.4,32,13
ウィック,2024,DeNA,43,5,1,1,16,1,0.833,45,13
ウェンデルケン,2024,DeNA,28,1,1,0,17,2,0.5,26,5
大貫 晋一,2024,DeNA,15,6,7,0,0,4,0.462,88,28
上茶谷 大河,2024,DeNA,18,2,2,0,3,1,0.5,22,11
京山 将弥,2024,DeNA,23,2,1,0,7,0,0.667,22,5
ケイ,2024,DeNA,24,6,9,0,0,7,0.4,136,52
小園 健太,2024,DeNA,1,0,1,0,0,0,0,2,5
坂本 裕哉,2024,DeNA,48,1,1,0,14,1,0.5,45,11
佐々木 千隼,2024,DeNA,28,0,1,1,6,2,0,37,8
ジャクソン,2024,DeNA,25,8,7,0,0,6,0.533,143,46
平良 拳太郎,2024,DeNA,4,2,0,0,0,0,1,29,4
ディアス,2024,DeNA,7,0,0,0,4,0,0,4,0
徳山 壮磨,2024,DeNA,29,1,1,0,9,0,0.5,29,8
中川 虎大,2024,DeNA,31,1,3,0,11,1,0.25,31,11
中川 颯,2024,DeNA,29,3,0,1,6,6,1,57,28
濵口 遥大,2024,DeNA,11,2,4,0,0,1,0.333,52,19
堀岡 隼人,2024,DeNA,6,0,0,0,1,0,0,6,0
松本 隆之介,2024,DeNA,1,0,0,0,0,0,0,5,2
松本 凌人,2024,DeNA,10,0,0,0,1,2,0,10,7
三嶋 一輝,2024,DeNA,7,1,1,0,1,0,0.5,7,4
宮城 滝太,2024,DeNA,1,0,0,0,0,0,0,2,3
森 唯斗,2024,DeNA,14,1,3,0,2,3,0.25,32,27
森原 康平,2024,DeNA,58,2,6,29,13,1,0.25,59,16
山﨑 康晃,2024,DeNA,38,3,5,4,14,3,0.375,37,14
吉野 光樹,2024,DeNA,7,3,2,0,0,1,0.6,31,15
アドゥワ 誠,2024,広島,20,6,4,0,0,5,0.6,106,37
遠藤 淳志,2024,広島,3,0,0,0,0,0,0,4,2
大瀬良 大地,2024,広島,25,6,6,0,0,3,0.5,155,32
大道 温貴,2024,広島,4,0,0,0,0,0,0,4,5
河野 佳,2024,広島,13,0,0,1,0,1,0,16,4
九里 亜蓮,2024,広島,23,7,10,0,0,4,0.412,131,47
栗林 良吏,2024,広島,60,0,6,38,12,2,0,55,12
黒原 拓未,2024,広島,53,4,3,0,7,3,0.571,59,14
ケムナ 誠,2024,広島,5,0,0,0,0,0,0,5,1
コルニエル,2024,広島,16,0,0,0,0,0,0,17,5
島内 颯太郎,2024,広島,58,11,6,0,35,2,0.647,55,17
髙 太一,2024,広島,1,0,0,0,1,0,0,2,0
高橋 昂也,2024,広島,1,0,0,1,0,0,0,1,0
滝田 一希,2024,広島,1,1,0,0,1,0,1,4,1
玉村 昇悟,2024,広島,15,4,5,0,0,2,0.444,76,25
常廣 羽也斗,2024,広島,2,1,0,0,0,1,1,11,3
床田 寛樹,2024,広島,26,11,9,0,0,4,0.55,167,46
中﨑 翔太,2024,広島,24,1,1,0,4,1,0.5,23,5
野村 祐輔,2024,広島,3,0,1,0,0,0,0,11,3
ハーン,2024,広島,35,0,1,2,17,0,0,35,5
ハッチ,2024,広島,5,0,3,0,0,2,0,22,18
長谷部 銀次,2024,広島,5,0,0,0,1,0,0,7,0
塹江 敦哉,2024,広島,53,2,0,0,18,4,1,40,7
益田 武尚,2024,広島,10,0,0,0,3,2,0,8,6
松本 竜也,2024,広島,12,0,1,0,0,0,0,12,4
森 翔平,2024,広島,5,1,3,0,0,1,0.25,26,8
森浦 大輔,2024,広島,53,2,0,0,19,1,1,46,13
森下 暢仁,2024,広島,23,10,10,0,0,7,0.5,151,43
矢崎 拓也,2024,広島,26,1,1,0,11,1,0.5,25,10
石川 雅規,2024,ヤクルト,9,1,4,0,0,1,0.2,37,17
石原 勇輝,2024,ヤクルト,1,0,0,0,0,0,0,1,1
石山 泰稚,2024,ヤクルト,37,1,0,5,9,1,1,41,20
エスパーダ,2024,ヤクルト,24,0,2,0,5,0,0,27,15
大西 広樹,2024,ヤクルト,60,9,1,1,32,2,0.9,60,9
小川 泰弘,2024,ヤクルト,12,2,5,0,0,0,0.286,62,32
奥川 恭伸,2024,ヤクルト,7,3,2,0,0,3,0.6,32,10
尾仲 祐哉,2024,ヤクルト,1,0,0,0,0,0,0,2,4
金久保 優斗,2024,ヤクルト,5,0,1,0,0,1,0,7,3
嘉弥真 新也,2024,ヤクルト,9,0,0,0,1,0,0,4,7
木澤 尚文,2024,ヤクルト,55,3,3,5,19,0,0.5,53,18
小澤 怜史,2024,ヤクルト,40,6,6,11,8,1,0.5,77,22
今野 龍太,2024,ヤクルト,6,0,0,0,1,0,0,6,0
サイスニード,2024,ヤクルト,24,2,8,0,0,5,0.2,120,67
阪口 皓亮,2024,ヤクルト,2,0,1,0,0,0,0,8,10
柴田 大地,2024,ヤクルト,1,0,0,0,0,0,0,2,1
清水 昇,2024,ヤクルト,17,0,3,2,2,0,0,17,14
高梨 裕稔,2024,ヤクルト,8,1,4,0,0,1,0.2,37,17
高橋 奎二,2024,ヤクルト,21,8,9,0,1,8,0.471,115,46
田口 麗斗,2024,ヤクルト,41,1,4,7,14,1,0.2,33,11
長谷川 宙輝,2024,ヤクルト,19,1,0,0,3,1,1,21,11
原 樹理,2024,ヤクルト,7,0,0,0,0,0,0,10,2
星 知弥,2024,ヤクルト,36,1,0,1,3,2,1,37,15
松本 健吾,2024,ヤクルト,3,1,1,0,0,1,0.5,14,7
丸山 翔大,2024,ヤクルト,27,1,0,0,6,1,1,31,2
宮川 哲,2024,ヤクルト,4,0,0,0,0,0,0,4,3
ヤフーレ,2024,ヤクルト,23,5,10,0,1,5,0.333,129,48
山野 太一,2024,ヤクルト,14,3,4,0,0,2,0.429,50,34
山本 大貴,2024,ヤクルト,44,3,0,1,15,0,1,31,5
吉村 貢司郎,2024,ヤクルト,23,9,8,0,0,2,0.529,138,49
ロドリゲス,2024,ヤクルト,32,1,1,1,9,1,0.5,45,9
岩嵜 翔,2024,中日,21,0,0,0,1,0,0,20,13
梅津 晃大,2024,中日,14,2,8,0,0,2,0.2,77,35
梅野 雄吾,2024,中日,18,1,0,0,3,1,1,21,10
大野 雄大,2024,中日,9,2,6,0,0,2,0.25,44,24
小笠原 慎之介,2024,中日,24,5,11,0,0,4,0.313,144,50
勝野 昌慶,2024,中日,39,1,1,0,8,0,0.5,41,16
齋藤 綱記,2024,中日,56,4,3,0,23,1,0.571,47,11
清水 達也,2024,中日,60,3,1,1,39,1,0.75,58,9
祖父江 大輔,2024,中日,28,0,0,0,4,0,0,28,9
髙橋 宏斗,2024,中日,21,12,4,0,0,4,0.75,143,22
田島 慎二,2024,中日,2,0,0,0,1,0,0,0,4
仲地 礼亜,2024,中日,1,0,0,0,0,0,0,1,0
根尾 昂,2024,中日,3,0,1,0,0,0,0,7,8
橋本 侑樹,2024,中日,47,3,1,0,8,2,0.75,52,10
土生 翔太,2024,中日,7,0,0,0,0,0,0,12,8
フェリス,2024,中日,17,0,1,0,0,0,0,17,10
福 敬登,2024,中日,13,0,0,0,0,0,0,11,2
福谷 浩司,2024,中日,8,3,1,0,1,0,0.75,29,12
藤嶋 健人,2024,中日,50,3,3,0,17,2,0.5,49,12
マルティネス,2024,中日,60,2,3,43,9,2,0.4,58,7
松木平 優太,2024,中日,8,2,4,0,0,4,0.333,48,20
松葉 貴大,2024,中日,17,5,6,0,0,2,0.455,93,32
松山 晋也,2024,中日,59,2,3,0,43,3,0.4,54,8
メヒア,2024,中日,15,3,8,0,0,4,0.273,75,41
柳 裕也,2024,中日,13,4,5,0,0,0,0.444,67,28
涌井 秀章,2024,中日,16,3,5,0,0,2,0.375,85,29
有原 航平,2024,ソフトバンク,26,14,7,0,0,8,0.667,182,48
石川 柊太,2024,ソフトバンク,15,7,2,0,0,5,0.778,63,18
岩井 俊介,2024,ソフトバンク,15,1,1,1,3,1,0.5,13,5
オスナ,2024,ソフトバンク,39,0,3,24,5,2,0,38,16
大関 友久,2024,ソフトバンク,20,8,4,0,0,10,0.667,122,34
大津 亮介,2024,ソフトバンク,19,7,7,0,0,1,0.5,119,38
大山 凌,2024,ソフトバンク,18,1,1,0,2,2,0.5,27,10
尾形 崇斗,2024,ソフトバンク,12,2,0,0,5,0,1,11,3
木村 光,2024,ソフトバンク,5,0,0,0,1,0,0,6,1
澤柳 亮太郎,2024,ソフトバンク,11,2,1,0,2,1,0.667,10,4
スチュワート・ジュニア,2024,ソフトバンク,20,9,4,0,0,5,0.692,120,26
杉山 一樹,2024,ソフトバンク,50,4,0,1,18,1,1,50,9
田浦 文丸,2024,ソフトバンク,4,0,0,0,0,0,0,3,1
津森 宥紀,2024,ソフトバンク,48,5,2,0,22,6,0.714,42,10
中村 亮太,2024,ソフトバンク,1,0,0,0,0,0,0,1,2
長谷川 威展,2024,ソフトバンク,32,4,0,0,10,0,1,25,7
東浜 巨,2024,ソフトバンク,11,3,2,0,0,1,0.6,56,21
藤井 皓哉,2024,ソフトバンク,40,2,1,1,21,1,0.667,40,8
ヘルナンデス,2024,ソフトバンク,48,3,3,3,24,6,0.5,48,12
前田 純,2024,ソフトバンク,1,1,0,0,0,0,1,6,0
前田 悠伍,2024,ソフトバンク,1,0,0,0,0,1,0,3,6
又吉 克樹,2024,ソフトバンク,40,1,1,0,7,3,0.5,40,16
松本 晴,2024,ソフトバンク,5,2,1,0,0,1,0.667,16,5
松本 裕樹,2024,ソフトバンク,50,2,2,14,25,4,0.5,46,15
三浦 瑞樹,2024,ソフトバンク,5,0,0,0,0,2,0,5,0
村田 賢一,2024,ソフトバンク,1,0,0,0,0,0,0,1,2
モイネロ,2024,ソフトバンク,25,11,5,0,0,5,0.688,163,34
和田 毅,2024,ソフトバンク,8,2,2,0,3,2,0.5,26,11
池田 隆英,2024,日本ハム,29,2,1,0,17,2,0.667,23,10
伊藤 大海,2024,日本ハム,26,14,5,0,0,3,0.737,176,52
上原 健太,2024,日本ハム,7,0,5,0,0,1,0,25,26
鍵谷 陽平,2024,日本ハム,1,0,0,0,0,0,0,0,0
加藤 貴之,2024,日本ハム,27,10,9,0,0,1,0.526,166,50
金村 尚真,2024,日本ハム,29,7,6,0,8,3,0.538,136,36
河野 竜生,2024,日本ハム,52,1,4,0,34,1,0.2,42,10
北浦 竜次,2024,日本ハム,12,2,1,0,6,0,0.667,11,4
北山 亘基,2024,日本ハム,14,5,1,0,1,5,0.833,81,21
黒木 優太,2024,日本ハム,2,0,0,0,0,0,0,2,1
畔柳 亨丞,2024,日本ハム,5,0,0,0,0,0,0,6,3
ザバラ,2024,日本ハム,16,0,0,1,1,1,0,15,2
齋藤 友貴哉,2024,日本ハム,25,1,1,1,6,0,0.5,26,5
杉浦 稔大,2024,日本ハム,40,2,0,3,17,1,1,34,6
鈴木 健矢,2024,日本ハム,8,1,2,0,1,1,0.333,23,7
達 孝太,2024,日本ハム,1,1,0,0,0,0,1,5,0
田中 瑛斗,2024,日本ハム,3,0,0,0,0,0,0,4,5
田中 正義,2024,日本ハム,53,4,4,20,16,3,0.5,49,12
生田目 翼,2024,日本ハム,43,1,1,1,10,1,0.5,41,18
根本 悠楓,2024,日本ハム,2,0,0,0,0,1,0,4,7
バーヘイゲン,2024,日本ハム,9,2,2,0,0,2,0.5,49,17
福島 蓮,2024,日本ハム,12,2,3,0,0,3,0.4,61,24
福田 俊,2024,日本ハム,2,0,0,0,0,0,0,2,0
細野 晴希,2024,日本ハム,2,0,0,0,0,0,0,9,4
堀 瑞輝,2024,日本ハム,10,0,0,0,0,1,0,8,8
マーフィー,2024,日本ハム,40,1,2,0,14,3,0.333,38,14
松浦 慶斗,2024,日本ハム,5,0,0,0,1,0,0,4,1
宮西 尚生,2024,日本ハム,30,0,1,0,19,0,0,25,6
矢澤 宏太,2024,日本ハム,17,1,2,0,4,0,0.333,13,6
柳川 大晟,2024,日本ハム,21,1,3,8,2,0,0.25,22,10
山﨑 福也,2024,日本ハム,24,10,6,0,0,4,0.625,147,52
山本 拓実,2024,日本ハム,36,6,0,0,9,2,1,39,8
ロドリゲス,2024,日本ハム,10,1,1,0,4,0,0.5,8,2
東 晃平,2024,オリックス,10,3,4,0,0,6,0.429,58,17
阿部 翔太,2024,オリックス,17,0,1,0,4,0,0,14,3
井口 和朋,2024,オリックス,32,1,2,0,4,2,0.333,32,15
宇田川 優希,2024,オリックス,13,0,2,0,3,0,0,11,3
エスピノーザ,2024,オリックス,22,7,9,0,0,6,0.438,133,39
カスティーヨ,2024,オリックス,15,3,5,0,0,2,0.375,94,31
川瀬 堅斗,2024,オリックス,8,0,1,0,0,1,0,10,4
小木田 敦也,2024,オリックス,13,1,1,0,9,0,0.5,13,2
古田島 成龍,2024,オリックス,50,2,1,0,26,1,0.667,45,4
才木 海翔,2024,オリックス,15,0,2,0,1,0,0,23,13
齋藤 響介,2024,オリックス,8,2,3,0,0,2,0.4,37,17
佐藤 一磨,2024,オリックス,5,1,1,0,1,2,0.5,11,7
鈴木 博志,2024,オリックス,32,1,1,0,10,2,0.5,39,13
曽谷 龍平,2024,オリックス,20,7,11,0,0,1,0.389,119,31
髙島 泰都,2024,オリックス,21,2,2,0,4,4,0.5,56,25
田嶋 大樹,2024,オリックス,21,6,8,0,0,2,0.429,117,48
富山 凌雅,2024,オリックス,16,0,0,0,3,3,0,11,4
比嘉 幹貴,2024,オリックス,5,0,0,0,0,0,0,3,0
平野 佳寿,2024,オリックス,12,1,1,7,2,0,0.5,10,5
ペルドモ,2024,オリックス,28,1,0,4,15,0,1,28,2
本田 仁海,2024,オリックス,23,2,0,0,11,1,1,22,7
マチャド,2024,オリックス,53,5,3,23,19,1,0.625,53,12
前 佑囲斗,2024,オリックス,4,0,0,0,0,0,0,5,4
宮城 大弥,2024,オリックス,20,7,9,0,0,3,0.438,141,30
椋木 蓮,2024,オリックス,10,1,1,0,1,1,0.5,13,8
村西 良太,2024,オリックス,1,0,0,0,0,0,0,1,1
山岡 泰輔,2024,オリックス,6,0,0,0,1,0,0,5,2
山﨑 颯一郎,2024,オリックス,7,0,1,0,0,0,0,6,1
山下 舜平大,2024,オリックス,14,3,6,0,0,5,0.333,64,24
山田 修義,2024,オリックス,50,3,2,0,19,2,0.6,43,10
吉田 輝星,2024,オリックス,50,4,0,0,18,5,1,40,15
伊藤 茉央,2024,楽天,6,0,0,0,1,2,0,5,5
内 星龍,2024,楽天,20,6,8,0,0,3,0.429,110,44
岸 孝之,2024,楽天,22,6,11,0,0,2,0.353,143,45
古謝 樹,2024,楽天,15,5,8,0,0,7,0.385,83,40
小孫 竜二,2024,楽天,2,0,0,0,0,1,0,1,0
酒居 知史,2024,楽天,49,2,2,0,28,2,0.5,46,12
坂井 陽翔,2024,楽天,1,0,0,0,0,0,0,1,0
櫻井 周斗,2024,楽天,8,0,0,0,0,0,0,10,10
荘司 康誠,2024,楽天,7,1,4,0,0,0,0.2,29,23
鈴木 翔天,2024,楽天,49,2,0,1,26,1,1,48,9
清宮 虎多朗,2024,楽天,3,0,0,0,0,0,0,3,4
宋 家豪,2024,楽天,41,1,2,0,18,2,0.333,39,14
ターリー,2024,楽天,17,0,1,1,2,1,0,15,5
高田 孝一,2024,楽天,5,0,1,0,0,0,0,10,8
瀧中 瞭太,2024,楽天,12,4,6,0,0,1,0.4,71,33
田中 将大,2024,楽天,1,0,1,0,0,0,0,5,4
津留﨑 大成,2024,楽天,14,1,1,0,1,3,0.5,23,18
西垣 雅矢,2024,楽天,18,1,2,1,1,0,0.333,18,15
則本 昂大,2024,楽天,54,3,4,32,7,3,0.429,52,20
早川 隆久,2024,楽天,25,11,6,0,0,3,0.647,170,48
日當 直喜,2024,楽天,1,0,0,0,0,0,0,1,0
藤井 聖,2024,楽天,22,11,5,0,0,7,0.688,126,41
藤平 尚真,2024,楽天,47,0,1,1,20,3,0,46,9
ポンセ,2024,楽天,15,3,6,0,0,5,0.333,67,50
松井 友飛,2024,楽天,7,1,1,0,0,0,0.5,22,17
松田 啄磨,2024,楽天,7,0,0,0,0,0,0,15,6
宮森 智志,2024,楽天,9,0,0,0,0,0,0,9,1
弓削 隼人,2024,楽天,34,2,0,0,3,1,1,33,22
吉川 雄大,2024,楽天,13,0,0,0,0,1,0,20,12
渡辺 翔太,2024,楽天,49,7,2,0,19,0,0.778,47,16
アブレイユ,2024,西武,52,2,5,28,13,3,0.286,49,13
青山 美夏人,2024,西武,6,1,4,0,0,0,0.2,32,10
糸川 亮太,2024,西武,4,0,1,0,0,0,0,3,4
今井 達也,2024,西武,25,10,8,0,0,5,0.556,173,45
上田 大河,2024,西武,17,0,0,0,1,0,0,23,7
甲斐野 央,2024,西武,19,0,2,0,11,1,0,18,6
佐藤 隼輔,2024,西武,45,2,1,0,19,2,0.667,37,7
菅井 信也,2024,西武,8,1,2,0,1,0,0.333,24,14
杉山 遙希,2024,西武,1,0,1,0,0,1,0,3,0
隅田 知一郎,2024,西武,26,9,10,0,0,3,0.474,179,55
平良 海馬,2024,西武,22,3,2,0,11,5,0.6,48,9
髙橋 光成,2024,西武,15,0,11,0,0,6,0,81,35
武内 夏暉,2024,西武,21,10,6,0,0,3,0.625,145,35
田村 伊知郎,2024,西武,28,1,0,0,2,0,1,29,6
中村 祐太,2024,西武,27,0,1,0,0,2,0,32,11
羽田 慎之介,2024,西武,9,1,3,0,3,2,0.25,16,5
浜屋 将太,2024,西武,1,0,0,0,0,1,0,2,3
平井 克典,2024,西武,13,0,0,0,4,0,0,9,5
ボー・タカハシ,2024,西武,33,2,9,0,8,6,0.182,72,26
本田 圭佑,2024,西武,31,1,4,0,11,1,0.2,30,14
増田 達至,2024,西武,13,0,2,0,3,0,0,11,5
松本 航,2024,西武,34,1,9,0,6,2,0.1,66,29
豆田 泰志,2024,西武,15,0,1,0,0,0,0,15,11
水上 由伸,2024,西武,29,1,1,0,7,1,0.5,29,17
ヤン,2024,西武,37,0,0,0,2,2,0,30,19
與座 海人,2024,西武,7,1,4,0,1,0,0.2,24,13
渡邉 勇太朗,2024,西武,14,3,4,0,0,5,0.429,87,26
東妻 勇輔,2024,ロッテ,6,0,1,0,0,1,0,7,9
石川 歩,2024,ロッテ,5,3,1,0,0,1,0.75,24,10
岩下 大輝,2024,ロッテ,21,2,0,0,5,0,1,21,7
大谷 輝龍,2024,ロッテ,1,0,0,0,0,0,0,1,0
小島 和哉,2024,ロッテ,25,12,10,0,0,7,0.545,163,65
小野 郁,2024,ロッテ,3,0,0,0,0,0,0,3,1
カイケル,2024,ロッテ,8,2,4,0,0,2,0.333,40,16
唐川 侑己,2024,ロッテ,8,3,2,0,0,2,0.6,38,10
菊地 吏玖,2024,ロッテ,20,1,0,1,3,2,1,24,6
国吉 佑樹,2024,ロッテ,41,3,1,1,13,3,0.75,41,7
コルデロ,2024,ロッテ,5,0,1,0,2,0,0,5,4
坂本 光士郎,2024,ロッテ,37,1,2,0,12,5,0.333,33,21
佐々木 朗希,2024,ロッテ,18,10,5,0,0,8,0.667,111,29
澤田 圭佑,2024,ロッテ,21,2,1,0,10,1,0.667,20,8
澤村 拓一,2024,ロッテ,39,1,2,1,16,2,0.333,35,13
鈴木 昭汰,2024,ロッテ,51,2,2,5,29,1,0.5,49,4
ダイクストラ,2024,ロッテ,3,1,0,0,0,0,1,11,2
高野 脩汰,2024,ロッテ,6,1,1,0,1,0,0.5,14,6
田中 晴也,2024,ロッテ,4,1,1,0,0,0,0.5,20,4
種市 篤暉,2024,ロッテ,23,7,8,0,0,9,0.467,147,50
中村 稔弥,2024,ロッテ,17,1,0,0,1,1,1,34,14
中森 俊介,2024,ロッテ,5,1,1,0,0,1,0.5,24,7
西野 勇士,2024,ロッテ,20,9,8,0,0,4,0.529,122,44
西村 天裕,2024,ロッテ,17,0,0,0,7,0,0,17,13
二保 旭,2024,ロッテ,8,0,0,0,0,1,0,10,14
廣畑 敦也,2024,ロッテ,8,0,0,1,2,0,0,11,4
益田 直也,2024,ロッテ,44,1,4,25,7,3,0.2,41,12
美馬 学,2024,ロッテ,3,0,2,0,0,0,0,13,11
メルセデス,2024,ロッテ,21,4,8,0,0,2,0.333,126,38
八木 彬,2024,ロッテ,9,0,0,0,2,0,0,11,5
横山 陸人,2024,ロッテ,43,3,1,3,21,5,0.75,42,8
吉田 凌,2024,ロッテ,9,0,0,0,0,0,0,11,8
