選手,年度,球団,試合,打率,安打,本塁打,打点,盗塁,出塁率,長打率,OPS,打席数
秋山 拓巳,2023,阪神,2,0,0,0,0,0,0,0,0,4
石井 大智,2023,阪神,44,0,0,0,0,0,0,0,0,0
板山 祐太郎,2023,阪神,12,0.059,1,0,0,0,0.059,0.059,0.118,17
伊藤 将司,2023,阪神,21,0.116,5,0,2,0,0.156,0.116,0.272,52
糸原 健斗,2023,阪神,69,0.236,17,0,5,0,0.337,0.25,0.587,83
井上 広大,2023,阪神,13,0.229,8,0,7,0,0.27,0.343,0.613,37
岩崎 優,2023,阪神,60,0,0,0,0,0,0,0,0,0
岩貞 祐太,2023,阪神,50,0,0,0,0,0,0,0,0,0
植田 海,2023,阪神,28,0,0,0,0,4,0.5,0,0.5,3
梅野 隆太郎,2023,阪神,72,0.194,42,1,19,3,0.288,0.226,0.514,251
大竹 耕太郎,2023,阪神,21,0.098,4,0,3,0,0.14,0.122,0.262,48
大山 悠輔,2023,阪神,143,0.288,148,19,78,3,0.403,0.456,0.859,625
岡留 英貴,2023,阪神,8,0,0,0,0,0,0,0,0,0
小野寺 暖,2023,阪神,43,0.347,26,0,11,0,0.402,0.427,0.829,83
小幡 竜平,2023,阪神,47,0.282,22,0,8,3,0.349,0.321,0.67,91
及川 雅貴,2023,阪神,33,0,0,0,0,0,0,0,0,1
加治屋 蓮,2023,阪神,51,0,0,0,0,0,0,0,0,0
木浪 聖也,2023,阪神,127,0.267,109,1,41,0,0.32,0.333,0.653,470
桐敷 拓馬,2023,阪神,27,0.167,1,0,0,0,0.167,0.167,0.334,6
熊谷 敬宥,2023,阪神,26,0.333,2,0,0,3,0.5,0.333,0.833,9
Ｋ．ケラー,2023,阪神,27,0,0,0,0,0,0,0,0,0
小林 慶祐,2023,阪神,1,0,0,0,0,0,0,0,0,0
才木 浩人,2023,阪神,19,0.031,1,0,0,0,0.031,0.031,0.062,35
榮枝 裕貴,2023,阪神,2,0.333,1,0,0,0,0.333,0.333,0.666,4
坂本 誠志郎,2023,阪神,84,0.226,55,0,21,0,0.288,0.255,0.543,289
佐藤 輝明,2023,阪神,132,0.263,128,24,92,7,0.339,0.498,0.837,548
島田 海吏,2023,阪神,101,0.145,16,1,6,7,0.217,0.191,0.408,121
島本 浩也,2023,阪神,35,0,0,0,0,0,0,0,0,0
近本 光司,2023,阪神,129,0.285,143,8,54,28,0.379,0.429,0.808,585
富田 蓮,2023,阪神,9,0,0,0,0,0,0,0,0,1
長坂 拳弥,2023,阪神,10,0.222,2,0,0,0,0.222,0.222,0.444,12
中野 拓夢,2023,阪神,143,0.285,164,2,40,20,0.349,0.343,0.692,660
西 純矢,2023,阪神,17,0.227,5,0,5,0,0.261,0.273,0.534,25
西 勇輝,2023,阪神,18,0.036,1,0,0,0,0.036,0.071,0.107,33
ノイジー,2023,阪神,133,0.24,114,9,56,0,0.295,0.328,0.623,516
馬場 皐輔,2023,阪神,19,0,0,0,0,0,0,0,0,3
浜地 真澄,2023,阪神,30,0,0,0,0,0,0,0,0,0
原口 文仁,2023,阪神,54,0.192,10,2,8,0,0.25,0.327,0.577,56
ビーズリー,2023,阪神,18,0,0,0,0,0,0,0,0,11
ブルワー,2023,阪神,13,0,0,0,0,0,0,0,0,0
前川 右京,2023,阪神,33,0.255,24,0,7,0,0.346,0.33,0.676,107
ミエセス,2023,阪神,60,0.222,28,5,16,0,0.301,0.365,0.666,143
村上 頌樹,2023,阪神,22,0.136,6,0,0,0,0.174,0.136,0.31,49
森下 翔太,2023,阪神,94,0.237,79,10,41,1,0.316,0.375,0.691,377
門別 啓人,2023,阪神,2,0,0,0,0,0,0,0,0,2
湯浅 京己,2023,阪神,15,0,0,0,0,0,0,0,0,0
渡邉 諒,2023,阪神,59,0.177,14,2,10,0,0.224,0.304,0.528,85
アンバギー,2023,DeNA,4,0.125,1,0,0,0,0.125,0.125,0.25,8
東 克樹,2023,DeNA,24,0.128,6,0,5,0,0.163,0.149,0.312,56
石川 達也,2023,DeNA,28,0,0,0,0,0,0,0,0,1
石田 健大,2023,DeNA,23,0.077,2,0,2,0,0.143,0.077,0.22,34
伊勢 大夢,2023,DeNA,58,0,0,0,0,0,0,0,0,0
伊藤 光,2023,DeNA,61,0.225,36,1,8,0,0.273,0.294,0.567,176
今永 昇太,2023,DeNA,22,0.263,10,0,3,0,0.263,0.368,0.631,45
入江 大生,2023,DeNA,32,0,0,0,0,0,0,0,0,0
ウェンデルケン,2023,DeNA,61,0,0,0,0,0,0,0,0,0
エスコバー,2023,DeNA,40,0,0,0,0,0,0,0,0,0
蝦名 達夫,2023,DeNA,42,0.14,6,0,0,1,0.229,0.163,0.392,51
オースティン,2023,DeNA,22,0.277,13,0,6,0,0.352,0.404,0.756,54
大田 泰示,2023,DeNA,75,0.217,38,4,15,0,0.263,0.354,0.617,186
大貫 晋一,2023,DeNA,13,0.136,3,0,0,0,0.174,0.136,0.31,25
ガゼルマン,2023,DeNA,13,0.154,2,0,1,0,0.353,0.308,0.661,19
笠原 祥太郎,2023,DeNA,2,0,0,0,0,0,0,0,0,2
梶原 昂希,2023,DeNA,21,0.226,12,0,2,1,0.241,0.302,0.543,54
神里 和毅,2023,DeNA,64,0.163,8,0,3,0,0.226,0.224,0.45,53
上茶谷 大河,2023,DeNA,46,0,0,0,0,0,0,0,0,6
京田 陽太,2023,DeNA,93,0.227,57,1,9,3,0.302,0.255,0.557,287
楠本 泰史,2023,DeNA,94,0.191,30,2,21,0,0.253,0.287,0.54,176
桑原 将志,2023,DeNA,132,0.252,108,7,35,3,0.301,0.373,0.674,479
坂本 裕哉,2023,DeNA,13,0,0,0,0,0,0,0,0,2
佐野 恵太,2023,DeNA,141,0.264,148,13,65,0,0.323,0.388,0.711,613
柴田 竜拓,2023,DeNA,86,0.143,7,0,2,0,0.3,0.204,0.504,66
関根 大気,2023,DeNA,140,0.261,126,4,31,11,0.308,0.334,0.642,532
ソト,2023,DeNA,109,0.234,83,14,50,0,0.316,0.415,0.731,399
平良 拳太郎,2023,DeNA,11,0.118,2,0,0,0,0.118,0.118,0.236,18
田中 健二朗,2023,DeNA,11,0,0,0,0,0,0,0,0,0
知野 直人,2023,DeNA,39,0.167,5,2,5,2,0.342,0.4,0.742,39
戸柱 恭孝,2023,DeNA,70,0.242,40,5,19,0,0.296,0.394,0.69,181
中川 虎大,2023,DeNA,9,0,0,0,0,0,0,0,0,0
西浦 直亨,2023,DeNA,13,0.111,1,0,1,0,0.111,0.111,0.222,9
西巻 賢二,2023,DeNA,7,0,0,0,0,0,0,0,0,4
バウアー,2023,DeNA,19,0.026,1,0,0,0,0.05,0.026,0.076,45
濵口 遥大,2023,DeNA,14,0.278,5,0,0,0,0.278,0.333,0.611,21
林 琢真,2023,DeNA,65,0.206,29,0,11,7,0.235,0.241,0.476,154
藤田 一也,2023,DeNA,23,0.286,6,0,0,0,0.348,0.333,0.681,24
牧 秀悟,2023,DeNA,143,0.293,164,29,103,2,0.337,0.53,0.867,605
益子 京右,2023,DeNA,1,0,0,0,0,0,0,0,0,0
三浦 銀二,2023,DeNA,1,0,0,0,0,0,0,0,0,0
三嶋 一輝,2023,DeNA,27,0,0,0,0,0,0,0,0,0
宮城 滝太,2023,DeNA,11,0,0,0,0,0,0,0,0,1
宮國 椋丞,2023,DeNA,2,0,0,0,0,0,0,0,0,1
宮﨑 敏郎,2023,DeNA,124,0.326,133,20,71,1,0.395,0.539,0.934,461
森 敬斗,2023,DeNA,9,0.167,2,0,1,1,0.231,0.167,0.398,14
森原 康平,2023,DeNA,46,0,0,0,0,0,0,0,0,0
山﨑 康晃,2023,DeNA,49,0,0,0,0,0,0,0,0,0
大和,2023,DeNA,88,0.235,50,0,18,1,0.282,0.254,0.536,230
山本 祐大,2023,DeNA,71,0.277,48,3,16,0,0.347,0.382,0.729,200
アドゥワ 誠,2023,広島,14,0,0,0,0,0,0,0,0,0
アンダーソン,2023,広島,21,0.091,1,0,0,0,0.091,0.091,0.182,11
會澤 翼,2023,広島,54,0.172,20,1,10,0,0.26,0.233,0.493,133
秋山 翔吾,2023,広島,115,0.274,119,4,38,8,0.333,0.376,0.709,483
磯村 嘉孝,2023,広島,25,0.207,6,1,4,0,0.258,0.345,0.603,32
一岡 竜司,2023,広島,1,0,0,0,0,0,0,0,0,0
上本 崇司,2023,広島,84,0.259,64,1,17,8,0.317,0.308,0.625,276
遠藤 淳志,2023,広島,8,0,0,0,0,0,0,0,0,13
大瀬良 大地,2023,広島,23,0,0,0,0,1,0.032,0,0.032,33
大道 温貴,2023,広島,48,0,0,0,0,0,0,0,0,0
大盛 穂,2023,広島,59,0.152,10,1,5,4,0.2,0.227,0.427,71
河野 佳,2023,広島,8,0,0,0,0,0,0,0,0,2
菊池 涼介,2023,広島,120,0.258,114,5,27,7,0.31,0.33,0.64,485
九里 亜蓮,2023,広島,26,0.044,2,0,0,0,0.044,0.044,0.088,54
栗林 良吏,2023,広島,55,0,0,0,0,0,0,0,0,0
黒原 拓未,2023,広島,5,0,0,0,0,0,0,0,0,3
ケムナ 誠,2023,広島,24,0,0,0,0,0,0,0,0,0
コルニエル,2023,広島,8,0,0,0,0,0,0.111,0,0.111,10
小園 海斗,2023,広島,80,0.286,83,6,31,8,0.315,0.434,0.749,306
坂倉 将吾,2023,広島,120,0.266,105,12,44,3,0.347,0.41,0.757,448
島内 颯太郎,2023,広島,62,0,0,0,0,0,0,0,0,0
末包 昇大,2023,広島,65,0.273,38,11,27,0,0.308,0.554,0.862,146
曽根 海成,2023,広島,39,0.143,2,0,0,1,0.2,0.214,0.414,15
ターリー,2023,広島,44,0,0,0,0,0,0,0,0,0
田中 広輔,2023,広島,111,0.228,51,6,28,2,0.308,0.353,0.661,253
玉村 昇悟,2023,広島,9,0.143,2,0,2,0,0.143,0.143,0.286,15
田村 俊介,2023,広島,10,0.364,8,0,0,0,0.364,0.455,0.819,22
デビッドソン,2023,広島,112,0.21,73,19,44,0,0.273,0.425,0.698,381
堂林 翔太,2023,広島,100,0.273,71,12,35,1,0.323,0.462,0.785,284
床田 寛樹,2023,広島,24,0.275,11,0,1,0,0.31,0.375,0.685,50
戸根 千明,2023,広島,24,0,0,0,0,0,0,0,0,0
中﨑 翔太,2023,広島,35,0,0,0,0,0,0,0,0,0
中村 奨成,2023,広島,18,0.15,3,0,0,0,0.15,0.15,0.3,20
中村 貴浩,2023,広島,15,0.176,6,0,3,1,0.216,0.206,0.422,37
中村 祐太,2023,広島,5,0,0,0,0,0,0,0,0,0
西川 龍馬,2023,広島,109,0.305,127,9,56,7,0.337,0.423,0.76,443
韮澤 雄也,2023,広島,45,0.14,7,0,3,0,0.218,0.18,0.398,55
野間 峻祥,2023,広島,108,0.286,106,0,26,5,0.351,0.321,0.672,418
野村 祐輔,2023,広島,6,0.125,1,0,0,0,0.222,0.125,0.347,10
羽月 隆太郎,2023,広島,50,0.149,7,0,4,14,0.216,0.17,0.386,53
林 晃汰,2023,広島,20,0.207,12,1,5,0,0.258,0.328,0.586,62
塹江 敦哉,2023,広島,8,0,0,0,0,0,0,0,0,0
マクブルーム,2023,広島,70,0.221,50,6,31,1,0.305,0.354,0.659,259
益田 武尚,2023,広島,8,0,0,0,0,0,0,0,0,0
松本 竜也,2023,広島,13,0,0,0,0,0,0,0,0,0
松山 竜平,2023,広島,79,0.252,36,0,27,0,0.301,0.315,0.616,156
森 翔平,2023,広島,12,0.2,2,0,1,0,0.333,0.2,0.533,15
森浦 大輔,2023,広島,13,0,0,0,0,0,0,0,0,0
森下 暢仁,2023,広島,20,0.171,6,1,4,0,0.194,0.314,0.508,41
矢崎 拓也,2023,広島,54,0,0,0,0,0,0,0,0,0
矢野 雅哉,2023,広島,93,0.185,22,0,3,7,0.269,0.202,0.471,146
薮田 和樹,2023,広島,3,0,0,0,0,0,0,0,0,0
青木 宣親,2023,ヤクルト,96,0.253,55,3,19,2,0.371,0.332,0.703,264
赤羽 由紘,2023,ヤクルト,29,0.174,4,1,3,0,0.231,0.304,0.535,27
荒木 貴裕,2023,ヤクルト,1,0,0,0,0,0,0,0,0,2
石川 雅規,2023,ヤクルト,13,0.25,3,0,0,0,0.25,0.25,0.5,16
石山 泰稚,2023,ヤクルト,50,0,0,0,0,0,0,0,0,0
市川 悠太,2023,ヤクルト,4,0,0,0,0,0,0,0,0,2
内山 壮真,2023,ヤクルト,94,0.229,55,6,27,3,0.29,0.363,0.653,269
梅野 雄吾,2023,ヤクルト,5,0,0,0,0,0,0,0,0,0
エスピナル,2023,ヤクルト,3,0,0,0,0,0,0,0,0,0
オスナ,2023,ヤクルト,134,0.253,127,23,71,2,0.308,0.437,0.745,543
太田 賢吾,2023,ヤクルト,20,0.195,8,0,1,0,0.214,0.195,0.409,42
大西 広樹,2023,ヤクルト,46,0,0,0,0,0,0,0,0,1
小川 泰弘,2023,ヤクルト,23,0.108,4,0,5,0,0.132,0.162,0.294,49
奥村 展征,2023,ヤクルト,3,0.5,2,0,1,0,0.4,0.75,1.15,5
尾仲 祐哉,2023,ヤクルト,11,0,0,0,0,0,0,0,0,1
金久保 優斗,2023,ヤクルト,1,0.5,1,0,1,0,0.5,0.5,1,2
川端 慎吾,2023,ヤクルト,80,0.319,30,2,16,0,0.385,0.415,0.8,105
木澤 尚文,2023,ヤクルト,56,0,0,0,0,0,0,0,0,1
北村 恵吾,2023,ヤクルト,12,0.19,4,1,7,0,0.174,0.333,0.507,23
久保 拓眞,2023,ヤクルト,5,0,0,0,0,0,0,0,0,0
古賀 優大,2023,ヤクルト,38,0.294,20,1,2,0,0.377,0.353,0.73,80
小澤 怜史,2023,ヤクルト,29,0.143,3,0,1,0,0.182,0.238,0.42,25
今野 龍太,2023,ヤクルト,26,0,0,0,0,0,0,0,0,0
サイスニード,2023,ヤクルト,23,0.111,4,1,4,0,0.158,0.222,0.38,41
サンタナ,2023,ヤクルト,136,0.3,140,18,66,2,0.36,0.484,0.844,516
阪口 皓亮,2023,ヤクルト,13,0,0,0,0,0,0,0,0,0
澤井 廉,2023,ヤクルト,16,0.156,5,0,1,0,0.27,0.219,0.489,37
塩見 泰隆,2023,ヤクルト,51,0.301,56,8,31,1,0.373,0.5,0.873,209
清水 昇,2023,ヤクルト,56,0,0,0,0,0,0,0,0,0
高梨 裕稔,2023,ヤクルト,15,0.091,1,0,0,0,0.091,0.091,0.182,12
高橋 奎二,2023,ヤクルト,20,0.043,1,0,0,0,0.043,0.043,0.086,29
田口 麗斗,2023,ヤクルト,50,0,0,0,0,0,0,0,0,0
武岡 龍世,2023,ヤクルト,84,0.219,35,1,8,3,0.254,0.281,0.535,178
長岡 秀樹,2023,ヤクルト,135,0.227,101,3,35,4,0.281,0.294,0.575,488
中村 悠平,2023,ヤクルト,106,0.226,70,4,33,0,0.313,0.31,0.623,376
並木 秀尊,2023,ヤクルト,82,0.242,39,1,7,15,0.282,0.292,0.574,174
成田 翔,2023,ヤクルト,3,0,0,0,0,0,0,0,0,0
西浦 直亨,2023,ヤクルト,6,0.167,2,0,1,0,0.167,0.167,0.334,12
西田 明央,2023,ヤクルト,8,0.125,1,0,0,0,0.125,0.125,0.25,8
西村 瑠伊斗,2023,ヤクルト,1,0,0,0,0,0,0,0,0,1
長谷川 宙輝,2023,ヤクルト,1,0,0,0,0,0,0,0,0,0
濱田 太貴,2023,ヤクルト,103,0.234,59,5,22,4,0.29,0.361,0.651,276
ピーターズ,2023,ヤクルト,18,0,0,0,0,0,0.091,0,0.091,34
星 知弥,2023,ヤクルト,47,0,0,0,0,0,0,0,0,0
松本 直樹,2023,ヤクルト,3,0,0,0,0,0,0,0,0,6
丸山 和郁,2023,ヤクルト,67,0.206,20,0,7,7,0.252,0.258,0.51,106
丸山 翔大,2023,ヤクルト,22,0,0,0,0,0,0,0,0,1
三ツ俣 大樹,2023,ヤクルト,18,0.143,2,0,2,0,0.25,0.143,0.393,21
宮本 丈,2023,ヤクルト,65,0.222,20,0,7,1,0.368,0.278,0.646,123
村上 宗隆,2023,ヤクルト,140,0.256,127,31,84,5,0.375,0.5,0.875,597
元山 飛優,2023,ヤクルト,22,0.179,7,0,3,0,0.175,0.205,0.38,42
山崎 晃大朗,2023,ヤクルト,64,0.241,33,0,3,9,0.293,0.255,0.548,153
山田 哲人,2023,ヤクルト,105,0.231,87,14,40,4,0.306,0.415,0.721,422
山野 太一,2023,ヤクルト,5,0.1,1,0,0,0,0.1,0.1,0.2,10
山本 大貴,2023,ヤクルト,42,0,0,0,0,0,0,0,0,1
吉村 貢司郎,2023,ヤクルト,12,0.063,1,0,1,0,0.059,0.063,0.122,19
ロドリゲス,2023,ヤクルト,7,0,0,0,0,0,0,0,0,9
アキーノ,2023,中日,20,0.154,10,1,6,0,0.176,0.262,0.438,68
アルモンテ,2023,中日,28,0.189,10,1,2,0,0.204,0.264,0.468,54
石垣 雅海,2023,中日,22,0.087,2,0,0,0,0.16,0.087,0.247,26
石川 昂弥,2023,中日,121,0.242,105,13,45,0,0.282,0.394,0.676,464
石橋 康太,2023,中日,39,0.257,18,2,9,0,0.268,0.429,0.697,77
伊藤 康祐,2023,中日,34,0.15,3,0,0,1,0.15,0.15,0.3,22
上田 洸太朗,2023,中日,13,0,0,0,0,0,0,0,0,1
鵜飼 航丞,2023,中日,41,0.143,13,3,5,1,0.17,0.253,0.423,94
宇佐見 真吾,2023,中日,69,0.282,58,3,14,0,0.339,0.354,0.693,226
梅津 晃大,2023,中日,3,0.2,1,0,0,0,0.2,0.2,0.4,5
大島 洋平,2023,中日,130,0.289,136,0,23,6,0.316,0.334,0.65,494
大野 奨太,2023,中日,1,0,0,0,0,0,0,0,0,1
大野 雄大,2023,中日,1,0,0,0,0,0,0,0,0,2
小笠原 慎之介,2023,中日,25,0.106,5,0,2,0,0.143,0.128,0.271,52
岡野 祐一郎,2023,中日,15,0,0,0,0,0,0,0,0,1
岡林 勇希,2023,中日,143,0.279,163,3,31,12,0.324,0.365,0.689,633
カリステ,2023,中日,47,0.233,38,5,13,0,0.265,0.374,0.639,172
勝野 昌慶,2023,中日,50,0,0,0,0,0,0,0,0,1
加藤 翔平,2023,中日,59,0.225,9,0,4,2,0.279,0.225,0.504,45
加藤 匠馬,2023,中日,10,0,0,0,0,0,0,0,0,8
川越 誠司,2023,中日,18,0.212,7,0,1,0,0.278,0.242,0.52,36
木下 拓哉,2023,中日,89,0.237,66,5,26,0,0.313,0.345,0.658,315
郡司 裕也,2023,中日,1,0,0,0,0,0,0,0,0,1
後藤 駿太,2023,中日,52,0.182,8,0,6,0,0.26,0.25,0.51,51
近藤 廉,2023,中日,1,0,0,0,0,0,0,0,0,0
齋藤 綱記,2023,中日,31,0,0,0,0,0,0,0,0,0
清水 達也,2023,中日,50,0,0,0,0,0,0,0,0,0
鈴木 博志,2023,中日,9,0,0,0,0,0,0,0,0,4
砂田 毅樹,2023,中日,18,0,0,0,0,0,0,0,0,0
祖父江 大輔,2023,中日,45,0,0,0,0,0,0,0,0,0
高橋 周平,2023,中日,86,0.215,34,0,14,1,0.271,0.253,0.524,172
髙橋 宏斗,2023,中日,25,0.162,6,0,2,0,0.205,0.162,0.367,46
髙松 渡,2023,中日,23,0,0,0,0,2,0,0,0,1
田島 慎二,2023,中日,32,0,0,0,0,0,0,0,0,0
谷元 圭介,2023,中日,7,0,0,0,0,0,0,0,0,0
堂上 直倫,2023,中日,12,0.222,2,0,0,0,0.3,0.333,0.633,10
仲地 礼亜,2023,中日,9,0,0,0,0,0,0,0,0,15
根尾 昂,2023,中日,2,0.2,1,0,0,0,0.2,0.2,0.4,5
橋本 侑樹,2023,中日,13,0,0,0,0,0,0,0,0,0
ビシエド,2023,中日,91,0.244,77,6,23,0,0.311,0.33,0.641,347
樋口 正修,2023,中日,7,0,0,0,0,0,0,0,0,3
フェリス,2023,中日,19,0,0,0,0,0,0,0,0,0
ブライト 健太,2023,中日,33,0.241,14,0,4,2,0.323,0.31,0.633,68
福 敬登,2023,中日,29,0,0,0,0,0,0,0,0,0
福島 章太,2023,中日,4,0,0,0,0,0,0,0,0,0
福田 永将,2023,中日,19,0.15,3,1,1,0,0.346,0.3,0.646,26
福谷 浩司,2023,中日,14,0.143,2,0,1,0,0.2,0.143,0.343,15
福永 裕基,2023,中日,97,0.241,70,2,15,2,0.289,0.323,0.612,325
藤嶋 健人,2023,中日,56,0,0,0,0,0,0,0,0,0
細川 成也,2023,中日,140,0.253,131,24,78,0,0.326,0.454,0.78,576
マルティネス,2023,中日,48,0,0,0,0,0,0,0,0,0
松葉 貴大,2023,中日,11,0,0,0,1,0,0,0,0,15
松山 晋也,2023,中日,36,0,0,0,0,0,0,0,0,1
溝脇 隼人,2023,中日,59,0.175,7,0,3,1,0.233,0.225,0.458,45
味谷 大誠,2023,中日,6,0.286,2,0,0,0,0.286,0.286,0.572,7
三好 大倫,2023,中日,30,0.154,2,0,0,3,0.313,0.231,0.544,17
村松 開人,2023,中日,98,0.207,57,1,20,1,0.252,0.24,0.492,304
メヒア,2023,中日,8,0.067,1,0,1,0,0.067,0.133,0.2,17
柳 裕也,2023,中日,24,0.237,9,0,1,0,0.275,0.289,0.564,46
山浅 龍之介,2023,中日,7,0,0,0,0,0,0,0,0,2
山本 拓実,2023,中日,14,0,0,0,0,0,0,0,0,0
龍空,2023,中日,114,0.187,51,1,18,2,0.233,0.223,0.456,304
涌井 秀章,2023,中日,21,0.071,2,0,1,0,0.103,0.071,0.174,31
アストゥディーヨ,2023,ソフトバンク,20,0.136,6,1,3,0,0.22,0.227,0.447,50
有原 航平,2023,ソフトバンク,17,0.5,1,0,0,0,0.5,0.5,1,2
生海,2023,ソフトバンク,13,0.2,4,0,0,0,0.238,0.2,0.438,21
石川 柊太,2023,ソフトバンク,23,0,0,0,0,0,0,0,0,3
泉 圭輔,2023,ソフトバンク,3,0,0,0,0,0,0,0,0,0
井上 朋也,2023,ソフトバンク,15,0.263,10,1,3,0,0.317,0.395,0.712,41
今宮 健太,2023,ソフトバンク,126,0.255,109,9,48,4,0.3,0.37,0.67,484
上林 誠知,2023,ソフトバンク,56,0.185,17,0,9,1,0.216,0.239,0.455,99
海野 隆司,2023,ソフトバンク,8,0,0,0,0,0,0,0,0,2
オスナ,2023,ソフトバンク,49,0,0,0,0,0,0,0,0,0
大関 友久,2023,ソフトバンク,17,0,0,0,0,0,0,0,0,0
大津 亮介,2023,ソフトバンク,46,0,0,0,0,0,0,0,0,0
尾形 崇斗,2023,ソフトバンク,12,0,0,0,0,0,0,0,0,0
ガルビス,2023,ソフトバンク,19,0.152,5,0,1,0,0.176,0.152,0.328,34
ガンケル,2023,ソフトバンク,5,0,0,0,0,0,0,0,0,0
甲斐 拓也,2023,ソフトバンク,139,0.202,74,10,44,0,0.269,0.333,0.602,420
