選手,年度,球団,試合,打率,安打,本塁打,打点,盗塁,出塁率,長打率,OPS,打席数
赤星 優志,2023,巨人,12,0.118,2,0,0,0,0.211,0.176,0.387,22
秋広 優人,2023,巨人,121,0.273,111,10,41,0,0.318,0.401,0.719,439
浅野 翔吾,2023,巨人,24,0.25,10,1,2,0,0.268,0.35,0.618,41
井上 温大,2023,巨人,4,0.25,1,0,0,0,0.25,0.25,0.5,5
今村 信貴,2023,巨人,24,0,0,0,0,0,0,0,0,0
ウォーカー,2023,巨人,57,0.263,31,6,20,1,0.275,0.483,0.758,120
オコエ 瑠偉,2023,巨人,41,0.235,28,2,6,1,0.278,0.345,0.623,127
大江 竜聖,2023,巨人,32,0,0,0,0,0,0,0,0,0
大城 卓三,2023,巨人,134,0.281,119,16,55,0,0.341,0.446,0.787,490
岡田 悠希,2023,巨人,26,0.167,8,1,2,0,0.216,0.25,0.466,52
岡本 和真,2023,巨人,140,0.278,140,41,93,0,0.374,0.584,0.958,589
鍵谷 陽平,2023,巨人,13,0,0,0,0,0,0,0,0,0
梶谷 隆幸,2023,巨人,102,0.275,73,2,19,2,0.326,0.328,0.654,291
門脇 誠,2023,巨人,126,0.263,83,3,21,11,0.302,0.335,0.637,348
菊田 拡和,2023,巨人,6,0,0,0,0,0,0.167,0,0.167,6
菊地 大稀,2023,巨人,50,0,0,0,0,0,0,0,0,0
岸田 行倫,2023,巨人,46,0.25,17,2,3,0,0.282,0.368,0.65,72
北村 拓己,2023,巨人,27,0.206,7,0,0,0,0.27,0.235,0.505,38
グリフィン,2023,巨人,20,0.103,4,0,1,0,0.1,0.179,0.279,41
鍬原 拓也,2023,巨人,5,0,0,0,0,0,0,0,0,0
小林 誠司,2023,巨人,21,0.125,1,0,0,0,0.125,0.125,0.25,9
坂本 勇人,2023,巨人,116,0.288,116,22,60,2,0.361,0.524,0.885,455
重信 慎之介,2023,巨人,67,0.157,8,0,1,10,0.232,0.157,0.389,57
代木 大和,2023,巨人,13,0.5,1,0,0,0,0.5,0.5,1,2
菅野 智之,2023,巨人,14,0.238,5,0,1,0,0.273,0.286,0.559,25
鈴木 康平,2023,巨人,33,0,0,0,0,0,0,0,0,0
大勢,2023,巨人,27,0,0,0,0,0,0,0,0,0
高木 京介,2023,巨人,1,0,0,0,0,0,0,0,0,0
高梨 雄平,2023,巨人,55,0,0,0,0,0,0,0,0,1
髙橋 優貴,2023,巨人,6,0,0,0,0,0,0,0,0,0
田中 千晴,2023,巨人,31,0,0,0,0,0,0,0,0,2
田中 豊樹,2023,巨人,15,0,0,0,0,0,0,0,0,0
長野 久義,2023,巨人,75,0.259,41,6,19,1,0.33,0.43,0.76,176
戸郷 翔征,2023,巨人,24,0.109,5,0,3,0,0.143,0.109,0.252,55
直江 大輔,2023,巨人,16,0,0,0,0,0,0,0,0,0
中川 皓太,2023,巨人,44,0,0,0,0,0,0,0,0,0
中島 宏之,2023,巨人,8,0.278,5,0,0,0,0.316,0.278,0.594,19
中田 翔,2023,巨人,92,0.255,67,15,37,0,0.306,0.464,0.77,288
中山 礼都,2023,巨人,78,0.239,33,0,3,5,0.276,0.29,0.566,147
バルドナード,2023,巨人,21,0,0,0,0,0,0,0,0,0
萩尾 匡也,2023,巨人,11,0.063,1,0,0,0,0.063,0.063,0.126,16
ビーディ,2023,巨人,30,0.143,1,0,2,0,0.143,0.143,0.286,8
廣岡 大志,2023,巨人,9,0.214,6,1,2,1,0.233,0.321,0.554,30
ブリンソン,2023,巨人,88,0.248,70,11,35,1,0.272,0.422,0.694,294
船迫 大雅,2023,巨人,36,0,0,0,0,0,0,0,0,0
平内 龍太,2023,巨人,11,0,0,0,0,0,0,0,0,1
堀田 賢慎,2023,巨人,3,0,0,0,0,0,0,0,0,0
堀岡 隼人,2023,巨人,3,0,0,0,0,0,0,0,0,0
増田 大輝,2023,巨人,33,0.3,3,0,1,4,0.364,0.4,0.764,13
松井 颯,2023,巨人,8,0.5,1,0,0,0,0.5,0.5,1,3
松田 宣浩,2023,巨人,12,0.063,1,0,0,0,0.063,0.063,0.126,17
松原 聖弥,2023,巨人,21,0,0,0,0,0,0.077,0,0.077,13
丸 佳浩,2023,巨人,121,0.244,94,18,47,4,0.316,0.413,0.729,431
三上 朋也,2023,巨人,22,0,0,0,0,0,0,0,0,0
メンデス,2023,巨人,16,0.071,2,0,0,0,0.103,0.071,0.174,30
山﨑 伊織,2023,巨人,23,0.136,6,0,0,0,0.136,0.136,0.272,47
山瀬 慎之助,2023,巨人,5,0.143,1,0,0,0,0.143,0.143,0.286,7
横川 凱,2023,巨人,20,0.16,4,0,1,0,0.16,0.16,0.32,29
吉川 尚輝,2023,巨人,132,0.256,110,7,36,4,0.308,0.367,0.675,478
ロペス,2023,巨人,8,0,0,0,0,0,0,0,0,0
若林 晃弘,2023,巨人,21,0.125,2,0,0,1,0.222,0.125,0.347,18
青柳 晃洋,2023,阪神,18,0.125,4,0,4,0,0.125,0.156,0.281,37
