所属正式名,選手名,主ポジション,登板,先発,完投,完封勝,無四球,勝利,敗北,セーブ,ホールド,HP,投球回,防御率,WHIP,勝率,打者,安打,被打率,失点,自責点,被本塁打,奪三振,与四球,故意四,与死球,暴投,ボーク
東北楽天ゴールデンイーグルス,鈴木 翔天,投手,14,0,0,0,0,0,0,0,10,10,12.2,2.84,1.342,0,55,12,0.2181818182,5,4,1,14,5,0,0,0,0
埼玉西武ライオンズ,Ｅ．ラミレス,投手,27,0,0,0,0,1,0,0,7,8,26.2,1.01,1.05,1,106,16,0.1509433962,3,3,1,28,12,1,0,2,0
埼玉西武ライオンズ,ウィンゲンター,投手,49,0,0,0,0,1,4,0,31,32,46.2,1.74,0.986,0.2,188,26,0.1382978723,11,9,2,69,20,0,2,4,0
埼玉西武ライオンズ,ボー・タカハシ,投手,92,9,0,0,0,2,10,0,9,10,145.1,3.28,1.259,0.167,626,121,0.1932907348,63,53,7,105,62,2,20,5,0
埼玉西武ライオンズ,羽田 慎之介,投手,33,3,0,0,0,2,4,0,4,6,37.2,2.87,1.54,0.333,171,34,0.1988304094,15,12,0,36,24,0,5,2,1
埼玉西武ライオンズ,隅田 知一郎,投手,93,91,7,3,2,32,41,0,0,0,591,3.03,1.183,0.438,2435,553,0.2271047228,212,199,41,538,146,3,14,16,0
埼玉西武ライオンズ,甲斐野 央,投手,226,0,0,0,0,9,13,11,85,94,209,3.19,1.268,0.409,880,166,0.1886363636,77,74,16,215,99,5,12,6,0
埼玉西武ライオンズ,黒田 将矢,投手,18,0,0,0,0,1,0,0,0,1,22.2,3.18,1.456,1,98,23,0.2346938776,8,8,4,21,10,0,0,1,0
埼玉西武ライオンズ,黒木 優太,投手,164,4,0,0,0,11,12,3,50,61,171.1,4.2,1.354,0.478,731,154,0.2106703146,87,80,11,155,78,3,3,11,0
埼玉西武ライオンズ,佐藤 爽,投手,2,2,0,0,0,1,0,0,0,0,12,1.5,0.75,1,45,6,0.1333333333,2,2,1,10,3,0,1,0,0
埼玉西武ライオンズ,佐藤 隼輔,投手,124,9,0,0,0,6,9,0,41,44,143.2,3.51,1.329,0.4,614,126,0.2052117264,63,56,5,104,65,4,8,5,0
埼玉西武ライオンズ,山田 陽翔,投手,49,0,0,0,0,3,3,1,17,20,47.2,2.08,1.322,0.5,201,46,0.2288557214,12,11,3,31,17,0,1,1,0
埼玉西武ライオンズ,糸川 亮太,投手,26,0,0,0,0,0,3,0,2,2,34,4.76,1.176,0,139,29,0.2086330935,18,18,7,24,11,0,1,0,0
埼玉西武ライオンズ,篠原 響,投手,2,2,0,0,0,0,1,0,0,0,7,10.29,2.429,0,39,15,0.3846153846,8,8,1,8,2,0,1,0,0
埼玉西武ライオンズ,松本 航,投手,142,112,3,1,0,37,44,0,6,6,664.2,3.87,1.325,0.457,2849,589,0.2067392067,304,286,81,507,292,5,18,21,1
埼玉西武ライオンズ,上間 永遠,投手,5,5,0,0,0,1,1,0,0,0,21.1,6.33,1.641,0.5,94,26,0.2765957447,15,15,3,10,9,0,0,1,1
埼玉西武ライオンズ,上田 大河,投手,21,5,0,0,0,0,2,0,1,1,43.1,4.57,1.523,0,193,47,0.2435233161,22,22,3,17,19,0,1,1,0
埼玉西武ライオンズ,森脇 亮介,投手,195,0,0,0,0,15,5,6,53,68,182.1,2.71,1.261,0.75,770,145,0.1883116883,61,55,12,153,85,2,8,6,1
埼玉西武ライオンズ,杉山 遙希,投手,2,2,0,0,0,0,2,0,0,0,7,10.29,2.429,0,41,16,0.3902439024,15,8,1,4,1,0,1,1,0
埼玉西武ライオンズ,菅井 信也,投手,19,16,0,0,0,6,7,0,1,1,79.1,4.08,1.462,0.462,347,77,0.2219020173,36,36,9,69,39,0,0,0,0
埼玉西武ライオンズ,青山 美夏人,投手,47,7,1,1,0,1,5,3,1,1,80,3.15,1.275,0.167,336,65,0.193452381,30,28,8,47,37,0,0,5,1
埼玉西武ライオンズ,中村 祐太,投手,89,34,0,0,0,11,18,0,0,0,249.2,4.04,1.354,0.379,1071,248,0.2315592904,124,112,33,175,90,5,11,7,0
埼玉西武ライオンズ,渡邉 勇太朗,投手,59,51,1,1,1,16,18,0,2,2,301,2.9,1.276,0.471,1272,273,0.2146226415,109,97,18,174,111,0,13,10,0
埼玉西武ライオンズ,豆田 泰志,投手,36,0,0,0,0,0,1,1,6,6,37,3.89,1.622,0,170,41,0.2411764706,17,16,1,30,19,1,1,3,0
埼玉西武ライオンズ,浜屋 将太,投手,37,16,0,0,0,4,9,0,0,0,103.2,5.64,1.572,0.308,466,103,0.2210300429,69,65,15,62,60,0,8,6,0
埼玉西武ライオンズ,武内 夏暉,投手,33,33,1,1,0,14,11,0,0,0,208.2,3.11,1.107,0.56,844,190,0.2251184834,79,72,12,153,41,1,6,3,2
埼玉西武ライオンズ,平良 海馬,投手,308,34,1,1,0,27,20,62,111,124,484,1.84,1.112,0.574,1984,345,0.173891129,120,99,18,516,193,10,33,18,0
埼玉西武ライオンズ,堀越 啓太,投手,1,0,0,0,0,0,0,0,0,0,1,9,2,0,5,2,0.4,1,1,0,0,0,0,0,0,0
埼玉西武ライオンズ,與座 海人,投手,81,67,3,2,2,22,27,0,1,3,393.1,3.32,1.111,0.449,1612,350,0.2171215881,155,145,42,203,87,0,24,3,0
埼玉西武ライオンズ,髙橋 光成,投手,196,192,9,5,1,73,77,0,0,0,1199,3.39,1.296,0.487,5066,1131,0.2232530596,518,452,95,870,423,4,68,66,4
オリックス・バファローズ,エスピノーザ,投手,45,45,2,0,0,12,17,0,0,0,263.1,2.8,1.322,0.414,1116,253,0.226702509,91,82,5,232,95,0,11,6,0
オリックス・バファローズ,マチャド,投手,111,0,0,0,0,8,9,51,23,31,108.2,2.15,1.104,0.471,444,86,0.1936936937,29,26,1,126,34,3,4,0,0
オリックス・バファローズ,ペルドモ,投手,139,0,0,0,0,5,9,5,91,96,134,2.82,1.261,0.357,555,132,0.2378378378,46,42,5,92,37,4,1,1,0
